epoch,games,blue_wins,red_wins,ties,avg_moves,policy_loss,value_loss,total_loss,avg_grad_norm,policy_entropy_nats,avg_root_val_winner,avg_root_val_loser,buffer_size,num_workers,epoch_time_s
40,100,51,34,15,68.53,1.3377457792758942,0.28744839400053024,2.2000909633636474,1.161323029756546,1.137697696685791,0.6124,-0.7564,147987,24,270.2
41,100,50,27,23,74.2,1.3346943905353545,0.30611578360199926,2.2530417392253876,1.2064166709184647,1.1182777881622314,0.5859,-0.7021,155531,24,254.5
42,100,51,36,13,64.24,1.325054016828537,0.2925004793703556,2.2025554530620575,1.0821239523887634,1.1509791612625122,0.5849,-0.7781,162074,24,236.7
43,100,43,38,19,68.26,1.327629789352417,0.2911058385670185,2.200947306394577,1.1206333277225495,1.131972312927246,0.5034,-0.7123,169014,24,280.9
44,100,50,41,9,65.43,1.322473781347275,0.2826621784865856,2.1704603178501127,1.1407841422557832,1.138152837753296,0.6216,-0.7942,175686,24,238.9
45,100,49,38,13,67.43,1.3221002967357636,0.2768111492395401,2.152533745765686,1.0991653139591218,1.132335901260376,0.646,-0.7767,182551,24,239.8
46,100,50,36,14,70.74,1.3148614602088928,0.271964935451746,2.130756265878677,1.0687266587018966,1.1131622791290283,0.6947,-0.7757,189737,24,276.4
47,100,48,36,16,69.2,1.3231105065345765,0.2741219081878662,2.145476233482361,1.191304057240486,1.1340826749801636,0.5854,-0.7661,196766,24,226.8
48,100,50,38,12,65.93,1.322001622915268,0.2639094637930393,2.1137300114631654,1.0821488044261933,1.1156387329101562,0.7081,-0.7987,203460,24,223.4
49,100,47,38,15,67.09,1.31650226855278,0.26233489060401916,2.1035069422721864,1.0806539659500123,1.1479878425598145,0.6305,-0.7323,210286,24,280.3
50,100,50,33,17,68.31,1.3171560707092285,0.26429862913489344,2.110051960706711,1.0984190962314606,1.1130119562149048,0.57,-0.747,182551,24,236.7
51,100,48,35,17,65.41,1.3155458307266235,0.27093516039848325,2.1283513090610504,1.0330739255547523,1.1104979515075684,0.57,-0.6981,189210,24,261.5
52,100,46,40,14,57.91,1.3134314045906066,0.2643340716958046,2.106433619260788,0.9889529774188995,1.1257939338684082,0.652,-0.7801,195120,24,230.8
53,100,49,33,18,70.6,1.3136312866210937,0.2691811969280243,2.1211748790740965,1.0722513573765755,1.1310069561004639,0.5787,-0.7201,202287,24,287.8
54,100,43,36,21,67.1,1.318197244167328,0.27397359275817873,2.1401180236339568,1.069195221543312,1.141557216644287,0.5337,-0.6643,209106,24,246.9
55,100,38,46,16,68.31,1.3156973428726195,0.27676249781250956,2.1459848375320436,1.1410761450529099,1.1294918060302734,0.5569,-0.726,182551,24,260.1
56,100,50,33,17,66.99,1.3127410035133362,0.274223037570715,2.135410112142563,1.03396621632576,1.129774570465088,0.5883,-0.7156,189369,24,251.4
57,100,45,46,9,55.69,1.3127247841358185,0.27616230353713034,2.141211698770523,1.0732055215835572,1.1348015069961548,0.6992,-0.8209,195071,24,233.5
58,100,48,37,15,58.22,1.3120940470695495,0.2773735519349575,2.144214698791504,1.1137625745534896,1.1233880519866943,0.6498,-0.7541,201008,24,199.6
59,100,52,36,12,67.9,1.3196334755420684,0.2758243615031242,2.147106550693512,1.0901521558761598,1.1300559043884277,0.6338,-0.764,207922,24,279.7
60,100,49,43,8,61.29,1.3174545831680298,0.2766046334207058,2.1472684831619264,1.116244131207466,1.1139087677001953,0.6692,-0.823,214184,24,220.1
61,100,43,36,21,68.77,1.3228041181564332,0.28772753894329073,2.1859867351055144,1.2277284777164459,1.1456303596496582,0.608,-0.725,221174,24,255.6
62,100,39,37,24,72.18,1.3278648867607117,0.30794854322075843,2.2517105088233946,1.3476485356092454,1.1491787433624268,0.5606,-0.6598,228509,24,263.6
63,100,48,36,16,68.08,1.3303351140022277,0.3154285332560539,2.2766207113265993,1.4055398889780044,1.1370182037353516,0.5871,-0.7234,235429,24,234.4
64,100,56,34,10,72.45,1.3361438765525817,0.32403376218676566,2.308245160102844,1.4507453793287277,1.1251516342163086,0.674,-0.7872,242790,24,243.5
65,100,50,32,18,67.36,1.3431995723247527,0.328165064573288,2.327694766044617,1.4821359778642655,1.172231674194336,0.592,-0.7197,249651,24,286.6
66,100,46,35,19,104.31,1.3627599060535431,0.3302421373128891,2.353486317157745,1.5166619311571121,1.1109073162078857,0.2919,-0.5886,260212,24,729.9
67,100,47,31,22,108.98,1.361339656352997,0.31486119544506075,2.3059232428073884,1.4335453161001206,1.1097460985183716,0.358,-0.5578,271235,24,792.7
68,100,31,45,24,110.06,1.3610075373649597,0.3092346587181091,2.288711510181427,1.4212728116512299,1.1147782802581787,0.3289,-0.5604,282355,24,825.6
69,100,41,37,22,111.7,1.3600101335048675,0.3173043867349625,2.3119232912063596,1.452834251999855,1.10939621925354,0.4034,-0.5562,293646,24,810.4
70,100,49,25,26,108.31,1.3528311419487,0.3155811892747879,2.2995747191905975,1.428047708272934,1.103055477142334,0.3281,-0.5315,304606,24,867.1
71,100,34,41,25,112.78,1.351743290424347,0.31841374734044076,2.306984534740448,1.4222989746332169,1.1204299926757812,0.3414,-0.5048,316012,24,789.3
72,100,29,42,29,115.6,1.3497720522880554,0.3232178000807762,2.319425452709198,1.4727458374500275,1.0885437726974487,0.3308,-0.4295,327729,24,798.6
73,100,32,40,28,120.59,1.3422390313148498,0.3271126468479633,2.323576973438263,1.5122506178617476,1.0727540254592896,0.3629,-0.4705,339912,24,828.3
74,100,38,42,20,115.45,1.3428593156337738,0.32550846979022025,2.3193847212791443,1.4677184898853302,1.0819523334503174,0.3491,-0.5556,351590,24,808.9
75,100,41,32,27,117.37,1.3423126883506775,0.3301356405615807,2.3327196159362793,1.486888950228691,1.0825682878494263,0.3843,-0.4793,363454,24,875.7
76,100,39,42,19,112.22,1.3353040823936462,0.33556494683027266,2.3419989233016967,1.5291733181476592,1.05881929397583,0.3285,-0.5248,374791,24,826.7
77,100,33,37,30,117.33,1.3322478053569793,0.34018600422143935,2.3528058133125307,1.4698432784080506,1.0849151611328125,0.2573,-0.4434,386678,24,868.0
78,100,28,37,35,118.23,1.3326147513389588,0.34410793060064315,2.364938540458679,1.5021520667076111,1.044226050376892,0.3028,-0.4208,398647,24,846.7
79,100,34,35,31,115.14,1.3297901666164398,0.34794101858139037,2.3736132264137266,1.5102118000984193,1.0461609363555908,0.3443,-0.4654,410285,24,798.1
80,100,27,40,33,120.29,1.3290357348918915,0.3490312215983868,2.376129398345947,1.5593198136091233,1.0488232374191284,0.3028,-0.4557,363454,24,911.8
81,100,42,38,20,111.0,1.3309870760440827,0.3292573990523815,2.3187592701911925,1.4730538861751556,1.0836844444274902,0.3799,-0.5541,374668,24,755.9
82,100,37,34,29,113.21,1.335305570602417,0.3355643606185913,2.3419986572265623,1.4833684991598128,1.0666178464889526,0.3091,-0.5022,386112,24,814.6
83,100,28,44,28,116.02,1.3283070831298829,0.3351835166811943,2.333857635259628,1.478866834282875,1.0692226886749268,0.3581,-0.5315,397860,24,816.6
84,100,38,33,29,122.35,1.3283826091289521,0.3411693227291107,2.351890578746796,1.5097116705179214,1.0550233125686646,0.3186,-0.4967,410219,24,833.7
85,100,38,32,30,115.2,1.3275225841999054,0.34300647491216657,2.3565420107841493,1.5184603383541107,1.0553045272827148,0.3258,-0.455,421888,24,857.3
86,100,28,35,37,108.94,1.3238387985229492,0.3478018214702606,2.3672442655563355,1.5102797342538834,1.0517398118972778,0.3016,-0.4669,432936,24,839.0
87,100,39,34,27,120.45,1.3275058577060699,0.3533221248984337,2.3874722356796263,1.5589820942878723,1.045149803161621,0.3025,-0.5167,445118,24,826.1
88,100,42,31,27,114.44,1.3207966179847717,0.35688027256727217,2.391437434673309,1.5717530393600463,1.042747139930725,0.3417,-0.5618,456682,24,878.9
89,100,34,37,29,114.66,1.323211930990219,0.357311636865139,2.3951468372344973,1.559988706111908,1.0215505361557007,0.3722,-0.4596,468277,24,788.3
90,100,45,35,20,121.51,1.31996759724617,0.35601032638549807,2.387998577594757,1.5636466495990753,1.037081003189087,0.3905,-0.6276,480561,24,847.6
91,100,32,35,33,117.69,1.3212396891117095,0.36056753277778625,2.402942283153534,1.623361807346344,1.0299208164215088,0.3434,-0.4814,492443,24,836.2
92,100,32,30,38,120.33,1.3179127881526946,0.36381861501932145,2.4093686332702635,1.579577344059944,1.011254072189331,0.3111,-0.448,500000,24,905.9
93,100,34,43,23,116.21,1.3152441635131835,0.36098184931278227,2.3981897106170655,1.587380526304245,1.0385262966156006,0.4274,-0.5075,500000,24,806.5
94,100,37,28,35,123.34,1.314248000383377,0.368029742538929,2.41833722782135,1.6183162486553193,1.0262774229049683,0.2944,-0.4465,500000,24,865.2
95,100,32,34,34,116.25,1.3102553794384002,0.36766204500198363,2.413241515636444,1.6197092261314392,1.0115312337875366,0.3244,-0.4437,500000,24,825.7
96,100,31,32,37,125.88,1.3117423021793366,0.36772571271657944,2.414919435977936,1.618049304485321,1.0236539840698242,0.2307,-0.4253,500000,24,871.9
97,100,37,37,26,119.46,1.306589272737503,0.37391967862844466,2.4283483090400697,1.6110477991104126,1.0163795948028564,0.3541,-0.5149,500000,24,866.6
98,100,38,36,26,110.88,1.3066031050682068,0.3728287202119827,2.4250892634391783,1.635451985836029,1.0088542699813843,0.3534,-0.5581,500000,24,781.2
99,100,39,32,29,114.52,1.3043413269519806,0.3782330946922302,2.4390406055450438,1.6532706713676453,1.0232641696929932,0.3684,-0.4627,500000,24,862.4
100,100,40,25,35,120.13,1.304731149673462,0.3828566151857376,2.453300995349884,1.652186762571335,0.9928118586540222,0.3273,-0.4703,500000,24,883.6
101,100,34,34,32,116.2,1.3103301610946656,0.36613868808746336,2.4087462229728698,1.612712394952774,1.0202512741088867,0.2619,-0.4764,500000,24,804.1
102,100,32,35,33,107.81,1.3145590131282807,0.37254772824049,2.43220219373703,1.6508648641109467,1.0322296619415283,0.4056,-0.46,500000,24,816.1
