epoch,episode,turn,move,reward,winner
1,1128,"(0, 0, 255)",10-15,0.0,None
1,1128,"(255, 0, 0)",24-20,0.0,None
1,1128,"(0, 0, 255)",6-10,0.0,None
1,1128,"(255, 0, 0)",23-18,0.0,None
1,1128,"(0, 0, 255)",2-6,0.0,None
1,1128,"(255, 0, 0)",18-14,-81.0,None
1,1128,"(0, 0, 255)",10x17,-51.0,None
1,1128,"(255, 0, 0)",22x13,30.0,None
1,1128,"(0, 0, 255)",6-10,-51.0,None
1,1128,"(255, 0, 0)",13x6,30.0,None
1,1128,"(0, 0, 255)",12-16,-28.0,None
1,1128,"(255, 0, 0)",27-24,0.0,None
1,1128,"(0, 0, 255)",5-9,-28.0,None
1,1128,"(255, 0, 0)",21-17,0.0,None
1,1128,"(0, 0, 255)",1-5,-28.0,None
1,1128,"(255, 0, 0)",26-22,0.0,None
1,1128,"(0, 0, 255)",9-13,-28.0,None
1,1128,"(255, 0, 0)",32-27,0.0,None
1,1128,"(0, 0, 255)",15-19,5.0,None
1,1128,"(255, 0, 0)",24x15,-51.0,None
1,1128,"(0, 0, 255)",10x19,2.0,None
1,1128,"(255, 0, 0)",25-21,0.0,None
1,1128,"(0, 0, 255)",5-9,-28.0,None
1,1128,"(255, 0, 0)",27-23,-23.0,None
1,1128,"(0, 0, 255)",19x26,-21.0,None
1,1128,"(255, 0, 0)",30x23,30.0,None
1,1128,"(0, 0, 255)",16-19,-72.0,None
1,1128,"(255, 0, 0)",23x16,60.0,None
1,1128,"(0, 0, 255)",9-14,-23.0,None
1,1128,"(255, 0, 0)",17x10,7.0,None
1,1128,"(0, 0, 255)",7x14,7.0,None
1,1128,"(255, 0, 0)",16x7,-21.0,None
1,1128,"(0, 0, 255)",3x10,2.0,None
1,1128,"(255, 0, 0)",29-25,0.0,None
1,1128,"(0, 0, 255)",10-15,-28.0,None
1,1128,"(255, 0, 0)",20-16,0.0,None
1,1128,"(0, 0, 255)",14-18,-28.0,None
1,1128,"(255, 0, 0)",6-2,40.0,None
1,1128,"(0, 0, 255)",13-17,-102.0,None
1,1128,"(255, 0, 0)",21x14,60.0,None
1,1128,"(0, 0, 255)",15-19,-51.0,None
1,1128,"(255, 0, 0)",22x15,30.0,None
1,1128,"(0, 0, 255)",8-12,0.0,None
1,1128,"(255, 0, 0)",2-7,0.0,None
1,1128,"(0, 0, 255)",19-23,-21.0,None
1,1128,"(255, 0, 0)",7-3,-51.0,None
1,1128,"(0, 0, 255)",12x19,30.0,None
1,1128,"(255, 0, 0)",28-24,-51.0,None
1,1128,"(0, 0, 255)",19x28,30.0,None
1,1128,"(255, 0, 0)",31-26,-121.0,None
1,1128,"(0, 0, 255)",23x30x21,130.0,None
1,1128,"(255, 0, 0)",3-7,-28.0,None
1,1128,"(0, 0, 255)",21-25,0.0,None
1,1128,"(255, 0, 0)",7-2,-28.0,None
1,1128,"(0, 0, 255)",25-29,0.0,None
1,1128,"(255, 0, 0)",15-10,-28.0,None
1,1128,"(0, 0, 255)",29-25,0.0,None
1,1128,"(255, 0, 0)",2-7,0.0,Tie
