epoch,episode,turn,agent,move,reward,success,winner
65,6278,"(0, 0, 255)",Agent 1,12-16,0.1,True,None
65,6278,"(255, 0, 0)",Agent 2,24-20,0.1,True,None
65,6278,"(0, 0, 255)",Agent 1,16-19,-2.9,True,None
65,6278,"(255, 0, 0)",Agent 2,23x16,5.1,True,None
65,6278,"(0, 0, 255)",Agent 1,9-14,0.1,True,None
65,6278,"(255, 0, 0)",Agent 2,22-17,0.1,True,None
65,6278,"(0, 0, 255)",Agent 1,8-12,0.1,True,None
65,6278,"(255, 0, 0)",Agent 2,28-24,-2.9,True,None
65,6278,"(0, 0, 255)",Agent 1,12x19x28,25.1,True,None
65,6278,"(255, 0, 0)",Agent 2,27-24,0.1,True,None
65,6278,"(0, 0, 255)",Agent 1,5-9,0.1,True,None
65,6278,"(255, 0, 0)",Agent 2,32-27,0.1,True,None
65,6278,"(0, 0, 255)",Agent 1,4-8,0.1,True,None
65,6278,"(255, 0, 0)",Agent 2,27-23,0.1,True,None
65,6278,"(0, 0, 255)",Agent 1,9-13,0.1,True,None
65,6278,"(255, 0, 0)",Agent 2,23-19,-2.9,True,None
65,6278,"(0, 0, 255)",Agent 1,13x22,-0.9000000000000004,True,None
65,6278,"(255, 0, 0)",Agent 2,25x18x9,22.1,True,None
65,6278,"(0, 0, 255)",Agent 1,6x13,5.1,True,None
65,6278,"(255, 0, 0)",Agent 2,20-16,-2.9,True,None
65,6278,"(0, 0, 255)",Agent 1,11x20x27,22.1,True,None
65,6278,"(255, 0, 0)",Agent 2,31x24,5.1,True,None
65,6278,"(0, 0, 255)",Agent 1,10-14,0.1,True,None
65,6278,"(255, 0, 0)",Agent 2,21-17,-5.9,True,None
65,6278,"(0, 0, 255)",Agent 1,14x21,8.1,True,None
65,6278,"(255, 0, 0)",Agent 2,30-25,-2.9,True,None
65,6278,"(0, 0, 255)",Agent 1,21x30x23x16,145.1,True,None
65,6278,"(255, 0, 0)",Agent 2,29-25,0.1,True,None
65,6278,"(0, 0, 255)",Agent 1,16-11,0.1,True,None
65,6278,"(255, 0, 0)",Agent 2,25-21,0.1,True,None
65,6278,"(0, 0, 255)",Agent 1,28-32,20.1,True,None
65,6278,"(255, 0, 0)",Agent 2,24-20,0.1,True,None
65,6278,"(0, 0, 255)",Agent 1,32-27,0.1,True,None
65,6278,"(255, 0, 0)",Agent 2,21-17,-2.9,True,None
65,6278,"(0, 0, 255)",Agent 1,13x22,5.1,True,None
65,6278,"(255, 0, 0)",Agent 2,20-16,-2.9,True,None
65,6278,"(0, 0, 255)",Agent 1,11x20,505.1,True,"(0, 0, 255)"
