epoch,episode,turn,move,reward,winner
2,241,"(0, 0, 255)",12-16,0.0,None
2,241,"(255, 0, 0)",24-20,0.0,None
2,241,"(0, 0, 255)",16-19,-51.0,None
2,241,"(255, 0, 0)",23x16,30.0,None
2,241,"(0, 0, 255)",8-12,28.0,None
2,241,"(255, 0, 0)",28-24,-72.0,None
2,241,"(0, 0, 255)",12x19x28,60.0,None
2,241,"(255, 0, 0)",27-24,0.0,None
2,241,"(0, 0, 255)",11-16,-23.0,None
2,241,"(255, 0, 0)",20x11,-21.0,None
2,241,"(0, 0, 255)",7x16,30.0,None
2,241,"(255, 0, 0)",32-27,-28.0,None
2,241,"(0, 0, 255)",10-14,0.0,None
2,241,"(255, 0, 0)",27-23,-28.0,None
2,241,"(0, 0, 255)",14-18,-102.0,None
2,241,"(255, 0, 0)",22x15,32.0,None
2,241,"(0, 0, 255)",9-14,0.0,None
2,241,"(255, 0, 0)",25-22,-28.0,None
2,241,"(0, 0, 255)",14-17,-81.0,None
2,241,"(255, 0, 0)",21x14,2.0,None
2,241,"(0, 0, 255)",16-19,-51.0,None
2,241,"(255, 0, 0)",23x16,2.0,None
2,241,"(0, 0, 255)",28-32,40.0,None
2,241,"(255, 0, 0)",22-18,0.0,None
2,241,"(0, 0, 255)",32-27,-21.0,None
2,241,"(255, 0, 0)",24-19,9.0,None
2,241,"(0, 0, 255)",27-23,30.0,None
2,241,"(255, 0, 0)",29-25,0.0,None
2,241,"(0, 0, 255)",23-27,-51.0,None
2,241,"(255, 0, 0)",31x24,30.0,None
2,241,"(0, 0, 255)",6-10,-25.0,None
2,241,"(255, 0, 0)",14x7,-93.0,None
2,241,"(0, 0, 255)",2x11x20x27,90.0,None
2,241,"(255, 0, 0)",26-23,-28.0,None
2,241,"(0, 0, 255)",27-32,40.0,None
2,241,"(255, 0, 0)",30-26,0.0,None
2,241,"(0, 0, 255)",32-28,0.0,None
2,241,"(255, 0, 0)",26-22,0.0,None
2,241,"(0, 0, 255)",28-32,0.0,None
2,241,"(255, 0, 0)",15-10,0.0,None
2,241,"(0, 0, 255)",32-28,0.0,None
2,241,"(255, 0, 0)",25-21,0.0,None
2,241,"(0, 0, 255)",28-32,0.0,None
2,241,"(255, 0, 0)",21-17,0.0,None
2,241,"(0, 0, 255)",32-28,0.0,None
2,241,"(255, 0, 0)",19-16,0.0,None
2,241,"(0, 0, 255)",28-32,0.0,None
2,241,"(255, 0, 0)",18-15,0.0,None
2,241,"(0, 0, 255)",32-28,0.0,None
2,241,"(255, 0, 0)",17-14,0.0,None
2,241,"(0, 0, 255)",28-32,0.0,None
2,241,"(255, 0, 0)",22-18,0.0,None
2,241,"(0, 0, 255)",32-28,0.0,None
2,241,"(255, 0, 0)",23-19,0.0,None
2,241,"(0, 0, 255)",28-32,0.0,None
2,241,"(255, 0, 0)",15-11,0.0,None
2,241,"(0, 0, 255)",32-28,0.0,None
2,241,"(255, 0, 0)",18-15,0.0,None
2,241,"(0, 0, 255)",28-32,0.0,None
2,241,"(255, 0, 0)",11-8,-102.0,None
2,241,"(0, 0, 255)",3x12,30.0,None
2,241,"(255, 0, 0)",10-6,-72.0,None
2,241,"(0, 0, 255)",1x10x17,60.0,None
2,241,"(255, 0, 0)",15-10,0.0,None
2,241,"(0, 0, 255)",4-8,0.0,None
2,241,"(255, 0, 0)",10-6,0.0,None
2,241,"(0, 0, 255)",5-9,-28.0,None
2,241,"(255, 0, 0)",19-15,-51.0,None
2,241,"(0, 0, 255)",12x19,2.0,None
2,241,"(255, 0, 0)",15-11,-72.0,None
2,241,"(0, 0, 255)",8x15,32.0,None
2,241,"(255, 0, 0)",6-1,40.0,None
2,241,"(0, 0, 255)",32-27,0.0,None
2,241,"(255, 0, 0)",1-5,-21.0,None
2,241,"(0, 0, 255)",27-23,-72.0,None
2,241,"(255, 0, 0)",5x14x21,60.0,None
2,241,"(0, 0, 255)",15-18,0.0,None
2,241,"(255, 0, 0)",21-17,0.0,None
2,241,"(0, 0, 255)",23-27,0.0,None
2,241,"(255, 0, 0)",17-13,0.0,None
2,241,"(0, 0, 255)",27-32,0.0,None
2,241,"(255, 0, 0)",13-9,0.0,None
2,241,"(0, 0, 255)",18-22,0.0,None
2,241,"(255, 0, 0)",9-14,0.0,None
2,241,"(0, 0, 255)",22-26,0.0,None
2,241,"(255, 0, 0)",14-18,-28.0,None
2,241,"(0, 0, 255)",26-31,40.0,None
2,241,"(255, 0, 0)",18-23,-422.0,"(0, 0, 255)"
2,241,"(0, 0, 255)",19x26,560.0,"(0, 0, 255)"
