epoch,episode,turn,agent,move,reward,success,winner
99,578,"(0, 0, 255)",Agent 1,12-16,0.1,True,None
99,578,"(255, 0, 0)",Agent 2,24-20,0.1,True,None
99,578,"(0, 0, 255)",Agent 1,16-19,-2.9,True,None
99,578,"(255, 0, 0)",Agent 2,23x16,5.1,True,None
99,578,"(0, 0, 255)",Agent 1,9-14,0.1,True,None
99,578,"(255, 0, 0)",Agent 2,28-24,0.1,True,None
99,578,"(0, 0, 255)",Agent 1,14-18,-2.9,True,None
99,578,"(255, 0, 0)",Agent 2,22x15,-0.9000000000000004,True,None
99,578,"(0, 0, 255)",Agent 1,10x19x28,25.1,True,None
99,578,"(255, 0, 0)",Agent 2,25-22,0.1,True,None
99,578,"(0, 0, 255)",Agent 1,6-10,0.1,True,None
99,578,"(255, 0, 0)",Agent 2,30-25,0.1,True,None
99,578,"(0, 0, 255)",Agent 1,11-15,0.1,True,None
99,578,"(255, 0, 0)",Agent 2,27-23,0.1,True,None
99,578,"(0, 0, 255)",Agent 1,15-19,0.1,True,None
99,578,"(255, 0, 0)",Agent 2,32-27,0.1,True,None
99,578,"(0, 0, 255)",Agent 1,19-24,0.1,True,None
99,578,"(255, 0, 0)",Agent 2,23-19,0.1,True,None
99,578,"(0, 0, 255)",Agent 1,28-32,20.1,True,None
99,578,"(255, 0, 0)",Agent 2,27-23,3.1,True,None
99,578,"(0, 0, 255)",Agent 1,32-27,0.1,True,None
99,578,"(255, 0, 0)",Agent 2,23-18,3.1,True,None
99,578,"(0, 0, 255)",Agent 1,27-32,0.1,True,None
99,578,"(255, 0, 0)",Agent 2,31-27,-5.9,True,None
99,578,"(0, 0, 255)",Agent 1,32x23x30,25.1,True,None
99,578,"(255, 0, 0)",Agent 2,22-17,0.1,True,None
99,578,"(0, 0, 255)",Agent 1,24-27,0.1,True,None
99,578,"(255, 0, 0)",Agent 2,19-15,-2.9,True,None
99,578,"(0, 0, 255)",Agent 1,10x19,8.1,True,None
99,578,"(255, 0, 0)",Agent 2,25-22,0.1,True,None
99,578,"(0, 0, 255)",Agent 1,5-9,0.1,True,None
99,578,"(255, 0, 0)",Agent 2,29-25,0.1,True,None
99,578,"(0, 0, 255)",Agent 1,9-13,0.1,True,None
99,578,"(255, 0, 0)",Agent 2,17-14,0.1,True,None
99,578,"(0, 0, 255)",Agent 1,2-6,0.1,True,None
99,578,"(255, 0, 0)",Agent 2,22-17,-2.9,True,None
99,578,"(0, 0, 255)",Agent 1,13x22x29,45.1,True,None
99,578,"(255, 0, 0)",Agent 2,16-11,-5.9,True,None
99,578,"(0, 0, 255)",Agent 1,7x16,2.0999999999999996,True,None
99,578,"(255, 0, 0)",Agent 2,20x11,2.0999999999999996,True,None
99,578,"(0, 0, 255)",Agent 1,8x15x22,25.1,True,None
99,578,"(255, 0, 0)",Agent 2,21-17,0.1,True,None
99,578,"(0, 0, 255)",Agent 1,27-31,20.1,True,None
99,578,"(255, 0, 0)",Agent 2,17-13,0.1,True,None
99,578,"(0, 0, 255)",Agent 1,29-25,0.1,True,None
99,578,"(255, 0, 0)",Agent 2,14-10,-2.9,True,None
99,578,"(0, 0, 255)",Agent 1,6x15,5.1,True,None
99,578,"(255, 0, 0)",Agent 2,13-9,0.1,True,None
99,578,"(0, 0, 255)",Agent 1,25-29,0.1,True,None
99,578,"(255, 0, 0)",Agent 2,9-6,-2.9,True,None
99,578,"(0, 0, 255)",Agent 1,1x10,505.1,True,"(0, 0, 255)"
