epoch,episode,turn,agent,move,reward,success,winner
12,9858,"(0, 0, 255)",Agent 1,12-16,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,22-18,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,9-14,-2.9,True,None
12,9858,"(255, 0, 0)",Agent 2,18x9,-0.9000000000000004,True,None
12,9858,"(0, 0, 255)",Agent 1,6x13,5.1,True,None
12,9858,"(255, 0, 0)",Agent 2,23-19,-2.9,True,None
12,9858,"(0, 0, 255)",Agent 1,16x23,-0.9000000000000004,True,None
12,9858,"(255, 0, 0)",Agent 2,27x18,5.1,True,None
12,9858,"(0, 0, 255)",Agent 1,5-9,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,21-17,-2.9,True,None
12,9858,"(0, 0, 255)",Agent 1,13x22,2.0999999999999996,True,None
12,9858,"(255, 0, 0)",Agent 2,26x17,5.1,True,None
12,9858,"(0, 0, 255)",Agent 1,11-15,-2.9,True,None
12,9858,"(255, 0, 0)",Agent 2,18x11,-0.9000000000000004,True,None
12,9858,"(0, 0, 255)",Agent 1,8x15,5.1,True,None
12,9858,"(255, 0, 0)",Agent 2,24-19,-2.9,True,None
12,9858,"(0, 0, 255)",Agent 1,15x24,2.0999999999999996,True,None
12,9858,"(255, 0, 0)",Agent 2,28x19,5.1,True,None
12,9858,"(0, 0, 255)",Agent 1,10-14,-2.9,True,None
12,9858,"(255, 0, 0)",Agent 2,17x10,2.0999999999999996,True,None
12,9858,"(0, 0, 255)",Agent 1,7x14,5.1,True,None
12,9858,"(255, 0, 0)",Agent 2,25-21,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,14-17,-2.9,True,None
12,9858,"(255, 0, 0)",Agent 2,21x14x5,25.1,True,None
12,9858,"(0, 0, 255)",Agent 1,2-7,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,32-27,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,4-8,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,27-23,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,7-11,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,31-26,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,8-12,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,23-18,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,3-8,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,30-25,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,11-16,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,19-15,3.1,True,None
12,9858,"(0, 0, 255)",Agent 1,16-19,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,18-14,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,12-16,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,26-22,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,8-12,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,15-10,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,19-23,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,14-9,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,16-20,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,10-7,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,20-24,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,9-6,-2.9,True,None
12,9858,"(0, 0, 255)",Agent 1,1x10,5.1,True,None
12,9858,"(255, 0, 0)",Agent 2,7-3,20.1,True,None
12,9858,"(0, 0, 255)",Agent 1,12-16,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,5-1,20.1,True,None
12,9858,"(0, 0, 255)",Agent 1,24-27,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,3-7,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,16-19,-2.9,True,None
12,9858,"(255, 0, 0)",Agent 2,7x14,5.1,True,None
12,9858,"(0, 0, 255)",Agent 1,27-31,20.1,True,None
12,9858,"(255, 0, 0)",Agent 2,25-21,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,23-27,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,22-17,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,27-32,20.1,True,None
12,9858,"(255, 0, 0)",Agent 2,29-25,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,31-26,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,25-22,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,26-23,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,22-18,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,23-27,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,14-9,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,27-23,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,18-14,3.1,True,None
12,9858,"(0, 0, 255)",Agent 1,23-26,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,17-13,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,32-28,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,9-5,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,28-24,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,13-9,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,26-31,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,14-10,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,24-27,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,10-6,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,27-23,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,21-17,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,23-26,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,17-14,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,26-22,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,14-10,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,22-17,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,10-7,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,31-26,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,7-3,20.1,True,None
12,9858,"(0, 0, 255)",Agent 1,17-21,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,6-2,20.1,True,None
12,9858,"(0, 0, 255)",Agent 1,26-31,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,2-7,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,21-17,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,7-2,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,31-27,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,2-7,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,27-24,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,7-2,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,24-28,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,2-7,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,17-21,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,7-2,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,21-17,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,2-7,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,17-21,0.1,True,None
12,9858,"(255, 0, 0)",Agent 2,7-2,0.1,True,None
12,9858,"(0, 0, 255)",Agent 1,21-17,0.1,True,None
