epoch,episode,turn,agent,move,reward,success,winner
35,89,"(0, 0, 255)",Agent 1,12-16,0.1,True,None
35,89,"(255, 0, 0)",Agent 2,24-20,0.1,True,None
35,89,"(0, 0, 255)",Agent 1,16-19,-2.9,True,None
35,89,"(255, 0, 0)",Agent 2,23x16,5.1,True,None
35,89,"(0, 0, 255)",Agent 1,9-14,0.1,True,None
35,89,"(255, 0, 0)",Agent 2,27-24,0.1,True,None
35,89,"(0, 0, 255)",Agent 1,14-18,-2.9,True,None
35,89,"(255, 0, 0)",Agent 2,22x15,-0.9000000000000004,True,None
35,89,"(0, 0, 255)",Agent 1,10x19,2.0999999999999996,True,None
35,89,"(255, 0, 0)",Agent 2,24x15,2.0999999999999996,True,None
35,89,"(0, 0, 255)",Agent 1,11x18,5.1,True,None
35,89,"(255, 0, 0)",Agent 2,32-27,0.1,True,None
35,89,"(0, 0, 255)",Agent 1,18-22,-5.9,True,None
35,89,"(255, 0, 0)",Agent 2,25x18,5.1,True,None
35,89,"(0, 0, 255)",Agent 1,6-10,0.1,True,None
35,89,"(255, 0, 0)",Agent 2,29-25,0.1,True,None
35,89,"(0, 0, 255)",Agent 1,5-9,0.1,True,None
35,89,"(255, 0, 0)",Agent 2,28-24,0.1,True,None
35,89,"(0, 0, 255)",Agent 1,9-14,-2.9,True,None
35,89,"(255, 0, 0)",Agent 2,18x9,8.1,True,None
35,89,"(0, 0, 255)",Agent 1,2-6,-2.9,True,None
35,89,"(255, 0, 0)",Agent 2,9x2x11,42.1,True,None
35,89,"(0, 0, 255)",Agent 1,8x15,5.1,True,None
35,89,"(255, 0, 0)",Agent 2,27-23,0.1,True,None
35,89,"(0, 0, 255)",Agent 1,15-19,-2.9,True,None
35,89,"(255, 0, 0)",Agent 2,24x15x6,22.1,True,None
35,89,"(0, 0, 255)",Agent 1,1x10,5.1,True,None
35,89,"(255, 0, 0)",Agent 2,31-27,0.1,True,None
35,89,"(0, 0, 255)",Agent 1,4-8,0.1,True,None
35,89,"(255, 0, 0)",Agent 2,27-24,0.1,True,None
35,89,"(0, 0, 255)",Agent 1,8-12,0.1,True,None
35,89,"(255, 0, 0)",Agent 2,26-22,-2.9,True,None
35,89,"(0, 0, 255)",Agent 1,12x19x28,25.1,True,None
35,89,"(255, 0, 0)",Agent 2,30-26,0.1,True,None
35,89,"(0, 0, 255)",Agent 1,10-14,0.1,True,None
35,89,"(255, 0, 0)",Agent 2,22-17,0.1,True,None
35,89,"(0, 0, 255)",Agent 1,14-18,-2.9,True,None
35,89,"(255, 0, 0)",Agent 2,23x14,8.1,True,None
35,89,"(0, 0, 255)",Agent 1,28-32,20.1,True,None
35,89,"(255, 0, 0)",Agent 2,26-23,0.1,True,None
35,89,"(0, 0, 255)",Agent 1,32-27,0.1,True,None
35,89,"(255, 0, 0)",Agent 2,25-22,-2.9,True,None
35,89,"(0, 0, 255)",Agent 1,27x18x25,25.1,True,None
35,89,"(255, 0, 0)",Agent 2,17-13,0.1,True,None
35,89,"(0, 0, 255)",Agent 1,25-22,0.1,True,None
35,89,"(255, 0, 0)",Agent 2,14-10,0.1,True,None
35,89,"(0, 0, 255)",Agent 1,22-17,-2.9,True,None
35,89,"(255, 0, 0)",Agent 2,21x14,5.1,True,None
35,89,"(0, 0, 255)",Agent 1,3-8,0.1,True,None
35,89,"(255, 0, 0)",Agent 2,13-9,0.1,True,None
35,89,"(0, 0, 255)",Agent 1,8-12,0.1,True,None
35,89,"(255, 0, 0)",Agent 2,10-6,0.1,True,None
35,89,"(0, 0, 255)",Agent 1,12-16,-2.9,True,None
35,89,"(255, 0, 0)",Agent 2,20x11,505.1,True,"(255, 0, 0)"
