epoch,episode,turn,move,reward,winner
2,1939,"(0, 0, 255)",12-16,0.0,None
2,1939,"(255, 0, 0)",23-18,0.0,None
2,1939,"(0, 0, 255)",9-13,0.0,None
2,1939,"(255, 0, 0)",26-23,0.0,None
2,1939,"(0, 0, 255)",5-9,0.0,None
2,1939,"(255, 0, 0)",18-15,-74.0,None
2,1939,"(0, 0, 255)",11x18,-72.0,None
2,1939,"(255, 0, 0)",23x14x5,60.0,None
2,1939,"(0, 0, 255)",16-20,0.0,None
2,1939,"(255, 0, 0)",30-26,0.0,None
2,1939,"(0, 0, 255)",7-11,0.0,None
2,1939,"(255, 0, 0)",22-17,5.0,None
2,1939,"(0, 0, 255)",13x22,-51.0,None
2,1939,"(255, 0, 0)",26x17,30.0,None
2,1939,"(0, 0, 255)",3-7,0.0,None
2,1939,"(255, 0, 0)",24-19,0.0,None
2,1939,"(0, 0, 255)",8-12,0.0,None
2,1939,"(255, 0, 0)",17-13,0.0,None
2,1939,"(0, 0, 255)",11-16,-21.0,None
2,1939,"(255, 0, 0)",13-9,-81.0,None
2,1939,"(0, 0, 255)",6x13,9.0,None
2,1939,"(255, 0, 0)",27-23,30.0,None
2,1939,"(0, 0, 255)",2-6,0.0,None
2,1939,"(255, 0, 0)",19-15,-44.0,None
2,1939,"(0, 0, 255)",10x19x26,9.0,None
2,1939,"(255, 0, 0)",31x22,30.0,None
2,1939,"(0, 0, 255)",16-19,0.0,None
2,1939,"(255, 0, 0)",21-17,0.0,None
2,1939,"(0, 0, 255)",4-8,0.0,None
2,1939,"(255, 0, 0)",25-21,0.0,None
2,1939,"(0, 0, 255)",8-11,0.0,None
2,1939,"(255, 0, 0)",17-14,0.0,None
2,1939,"(0, 0, 255)",11-16,0.0,None
2,1939,"(255, 0, 0)",22-18,0.0,None
2,1939,"(0, 0, 255)",19-23,0.0,None
2,1939,"(255, 0, 0)",21-17,-51.0,None
2,1939,"(0, 0, 255)",13x22,30.0,None
2,1939,"(255, 0, 0)",28-24,-51.0,None
2,1939,"(0, 0, 255)",20x27,30.0,None
2,1939,"(255, 0, 0)",32-28,-28.0,None
2,1939,"(0, 0, 255)",7-10,-72.0,None
2,1939,"(255, 0, 0)",14x7,32.0,None
2,1939,"(0, 0, 255)",27-31,12.0,None
2,1939,"(255, 0, 0)",7-3,40.0,None
2,1939,"(0, 0, 255)",31-26,0.0,None
2,1939,"(255, 0, 0)",18-14,0.0,None
2,1939,"(0, 0, 255)",26-30,0.0,None
2,1939,"(255, 0, 0)",14-10,-51.0,None
2,1939,"(0, 0, 255)",6x15,30.0,None
2,1939,"(255, 0, 0)",28-24,0.0,None
2,1939,"(0, 0, 255)",16-19,-21.0,None
2,1939,"(255, 0, 0)",3-7,-51.0,None
2,1939,"(0, 0, 255)",19x28,30.0,None
2,1939,"(255, 0, 0)",29-25,-130.0,None
2,1939,"(0, 0, 255)",30x21,60.0,None
2,1939,"(255, 0, 0)",7-11,-21.0,None
2,1939,"(0, 0, 255)",12-16,-72.0,None
2,1939,"(255, 0, 0)",11x18x27,32.0,None
2,1939,"(0, 0, 255)",16-20,0.0,None
2,1939,"(255, 0, 0)",27-23,-28.0,None
2,1939,"(0, 0, 255)",20-24,0.0,None
2,1939,"(255, 0, 0)",23-27,-100.0,None
2,1939,"(0, 0, 255)",24x31,-40.0,None
2,1939,"(255, 0, 0)",No Legal Move,200.0,Tie
