epoch,episode,turn,move,reward,winner
1,4327,"(0, 0, 255)",11-16,0.0,None
1,4327,"(255, 0, 0)",22-17,0.0,None
1,4327,"(0, 0, 255)",9-14,0.0,None
1,4327,"(255, 0, 0)",23-19,5.0,None
1,4327,"(0, 0, 255)",16x23,-51.0,None
1,4327,"(255, 0, 0)",26x19,30.0,None
1,4327,"(0, 0, 255)",7-11,0.0,None
1,4327,"(255, 0, 0)",19-15,-81.0,None
1,4327,"(0, 0, 255)",11x18,30.0,None
1,4327,"(255, 0, 0)",27-23,-23.0,None
1,4327,"(0, 0, 255)",18x27,-21.0,None
1,4327,"(255, 0, 0)",32x23,30.0,None
1,4327,"(0, 0, 255)",6-9,0.0,None
1,4327,"(255, 0, 0)",25-22,0.0,None
1,4327,"(0, 0, 255)",12-16,0.0,None
1,4327,"(255, 0, 0)",24-19,-21.0,None
1,4327,"(0, 0, 255)",9-13,-51.0,None
1,4327,"(255, 0, 0)",19x12,30.0,None
1,4327,"(0, 0, 255)",2-7,0.0,None
1,4327,"(255, 0, 0)",31-26,0.0,None
1,4327,"(0, 0, 255)",7-11,0.0,None
1,4327,"(255, 0, 0)",28-24,0.0,None
1,4327,"(0, 0, 255)",14-18,-74.0,None
1,4327,"(255, 0, 0)",23x14x7,37.0,None
1,4327,"(0, 0, 255)",3x10,-49.0,None
1,4327,"(255, 0, 0)",12x3,70.0,None
1,4327,"(0, 0, 255)",10-14,-51.0,None
1,4327,"(255, 0, 0)",17x10,30.0,None
1,4327,"(0, 0, 255)",4-8,-51.0,None
1,4327,"(255, 0, 0)",3x12,30.0,None
1,4327,"(0, 0, 255)",1-6,-100.0,None
1,4327,"(255, 0, 0)",10x1,100.0,None
1,4327,"(0, 0, 255)",13-17,-81.0,None
1,4327,"(255, 0, 0)",22x13,30.0,None
1,4327,"(0, 0, 255)",5-9,-51.0,None
1,4327,"(255, 0, 0)",13x6,30.0,None
1,4327,"(0, 0, 255)",11-16,-401.0,"(255, 0, 0)"
1,4327,"(255, 0, 0)",12x19,530.0,"(255, 0, 0)"
