epoch,episode,turn,move,log_prob,reward,winner
1,333,"(0, 0, 255)",12-16,-1.9459101490553135,0.0,None
1,333,"(255, 0, 0)",22-17,-1.9459101490553135,0.0,None
1,333,"(0, 0, 255)",16-19,-2.0794415416798357,-53.0,None
1,333,"(255, 0, 0)",23x16,-0.6931471805599453,-21.0,None
1,333,"(0, 0, 255)",11x20,0.0,30.0,None
1,333,"(255, 0, 0)",25-22,-1.9459101490553135,0.0,None
1,333,"(0, 0, 255)",8-11,-1.9459101490553135,0.0,None
1,333,"(255, 0, 0)",29-25,-2.0794415416798357,0.0,None
1,333,"(0, 0, 255)",10-15,-2.0794415416798357,0.0,None
1,333,"(255, 0, 0)",17-13,-1.791759469228055,0.0,None
1,333,"(0, 0, 255)",9-14,-2.0794415416798357,0.0,None
1,333,"(255, 0, 0)",21-17,-1.9459101490553135,-72.0,None
1,333,"(0, 0, 255)",14x21,0.0,60.0,None
1,333,"(255, 0, 0)",22-18,-1.791759469228055,-100.0,None
1,333,"(0, 0, 255)",15x22x29,0.0,100.0,None
1,333,"(255, 0, 0)",30-25,-1.791759469228055,-102.0,None
1,333,"(0, 0, 255)",29x22,-0.6931471805599453,-21.0,None
1,333,"(255, 0, 0)",26x17,0.0,30.0,None
1,333,"(0, 0, 255)",5-9,-2.1972245773362196,0.0,None
1,333,"(255, 0, 0)",27-23,-1.3862943611198906,-23.0,None
1,333,"(0, 0, 255)",20x27,0.0,-21.0,None
1,333,"(255, 0, 0)",31x24,0.0,30.0,None
1,333,"(0, 0, 255)",4-8,-2.1972245773362196,0.0,None
1,333,"(255, 0, 0)",32-27,-1.791759469228055,0.0,None
1,333,"(0, 0, 255)",21-25,-2.0794415416798357,0.0,None
1,333,"(255, 0, 0)",23-18,-1.6094379124341003,-28.0,None
1,333,"(0, 0, 255)",25-29,-2.1972245773362196,40.0,None
1,333,"(255, 0, 0)",18-14,-1.791759469228055,-72.0,None
1,333,"(0, 0, 255)",9x18,0.0,60.0,None
1,333,"(255, 0, 0)",27-23,-1.6094379124341003,-72.0,None
1,333,"(0, 0, 255)",18x27,0.0,60.0,None
1,333,"(255, 0, 0)",13-9,-1.3862943611198906,-72.0,None
1,333,"(0, 0, 255)",6x13x22,0.0,60.0,None
1,333,"(255, 0, 0)",24-20,-0.6931471805599453,-28.0,None
1,333,"(0, 0, 255)",2-6,-2.4849066497880004,0.0,None
1,333,"(255, 0, 0)",28-24,-0.6931471805599453,-28.0,None
1,333,"(0, 0, 255)",22-25,-2.4849066497880004,0.0,None
1,333,"(255, 0, 0)",24-19,-0.6931471805599453,-28.0,None
1,333,"(0, 0, 255)",6-10,-2.3025850929940455,0.0,None
1,333,"(255, 0, 0)",19-15,-1.0986122886681098,-102.0,None
1,333,"(0, 0, 255)",10x19,-0.6931471805599453,88.0,None
1,333,"(255, 0, 0)",20-16,0.0,-401.0,"(0, 0, 255)"
1,333,"(0, 0, 255)",11x20,0.0,530.0,"(0, 0, 255)"
