epoch,episode,turn,agent,move,reward,success,winner
21,772,"(0, 0, 255)",Agent 1,12-16,0.1,True,None
21,772,"(255, 0, 0)",Agent 2,24-20,0.1,True,None
21,772,"(0, 0, 255)",Agent 1,16-19,-2.9,True,None
21,772,"(255, 0, 0)",Agent 2,23x16,5.1,True,None
21,772,"(0, 0, 255)",Agent 1,9-14,0.1,True,None
21,772,"(255, 0, 0)",Agent 2,27-24,0.1,True,None
21,772,"(0, 0, 255)",Agent 1,14-18,-2.9,True,None
21,772,"(255, 0, 0)",Agent 2,22x15,-0.9000000000000004,True,None
21,772,"(0, 0, 255)",Agent 1,10x19,2.0999999999999996,True,None
21,772,"(255, 0, 0)",Agent 2,24x15,2.0999999999999996,True,None
21,772,"(0, 0, 255)",Agent 1,11x18,5.1,True,None
21,772,"(255, 0, 0)",Agent 2,32-27,0.1,True,None
21,772,"(0, 0, 255)",Agent 1,6-10,0.1,True,None
21,772,"(255, 0, 0)",Agent 2,28-24,0.1,True,None
21,772,"(0, 0, 255)",Agent 1,10-14,0.1,True,None
21,772,"(255, 0, 0)",Agent 2,26-23,0.1,True,None
21,772,"(0, 0, 255)",Agent 1,8-12,0.1,True,None
21,772,"(255, 0, 0)",Agent 2,31-26,-2.9,True,None
21,772,"(0, 0, 255)",Agent 1,12x19x28,25.1,True,None
21,772,"(255, 0, 0)",Agent 2,23-19,0.1,True,None
21,772,"(0, 0, 255)",Agent 1,18-22,-5.9,True,None
21,772,"(255, 0, 0)",Agent 2,26x17x10,22.1,True,None
21,772,"(0, 0, 255)",Agent 1,7x14,5.1,True,None
21,772,"(255, 0, 0)",Agent 2,27-24,0.1,True,None
21,772,"(0, 0, 255)",Agent 1,5-9,0.1,True,None
21,772,"(255, 0, 0)",Agent 2,20-16,0.1,True,None
21,772,"(0, 0, 255)",Agent 1,14-17,-2.9,True,None
21,772,"(255, 0, 0)",Agent 2,21x14x5,25.1,True,None
21,772,"(0, 0, 255)",Agent 1,28-32,20.1,True,None
21,772,"(255, 0, 0)",Agent 2,30-26,0.1,True,None
21,772,"(0, 0, 255)",Agent 1,32-27,0.1,True,None
21,772,"(255, 0, 0)",Agent 2,26-23,-2.9,True,None
21,772,"(0, 0, 255)",Agent 1,27x20x11,25.1,True,None
21,772,"(255, 0, 0)",Agent 2,23-18,0.1,True,None
21,772,"(0, 0, 255)",Agent 1,11-15,-5.9,True,None
21,772,"(255, 0, 0)",Agent 2,19x10,8.1,True,None
21,772,"(0, 0, 255)",Agent 1,2-7,0.1,True,None
21,772,"(255, 0, 0)",Agent 2,18-15,-2.9,True,None
21,772,"(0, 0, 255)",Agent 1,7x14,5.1,True,None
21,772,"(255, 0, 0)",Agent 2,25-21,0.1,True,None
21,772,"(0, 0, 255)",Agent 1,3-8,0.1,True,None
21,772,"(255, 0, 0)",Agent 2,21-17,-2.9,True,None
21,772,"(0, 0, 255)",Agent 1,14x21,8.1,True,None
21,772,"(255, 0, 0)",Agent 2,29-25,-2.9,True,None
21,772,"(0, 0, 255)",Agent 1,21x30,25.1,True,None
21,772,"(255, 0, 0)",Agent 2,15-11,-2.9,True,None
21,772,"(0, 0, 255)",Agent 1,8x15,5.1,True,None
