epoch,episode,turn,move,log_prob,reward,winner
2,2959,"(0, 0, 255)",10-15,1,0.0,None
2,2959,"(255, 0, 0)",21-17,1,0.0,None
2,2959,"(0, 0, 255)",9-13,1,0.0,None
2,2959,"(255, 0, 0)",24-20,1,0.0,None
2,2959,"(0, 0, 255)",7-10,1,0.0,None
2,2959,"(255, 0, 0)",27-24,1,0.0,None
2,2959,"(0, 0, 255)",15-19,1,-74.0,None
2,2959,"(255, 0, 0)",24x15,1,-23.0,None
2,2959,"(0, 0, 255)",11x18x27,1,-21.0,None
2,2959,"(255, 0, 0)",31x24,1,30.0,None
2,2959,"(0, 0, 255)",12-16,1,-23.0,None
2,2959,"(255, 0, 0)",20x11,1,-21.0,None
2,2959,"(0, 0, 255)",8x15,1,30.0,None
2,2959,"(255, 0, 0)",32-27,1,0.0,None
2,2959,"(0, 0, 255)",4-8,1,0.0,None
2,2959,"(255, 0, 0)",22-18,1,-151.0,None
2,2959,"(0, 0, 255)",15x22x31,1,109.0,None
2,2959,"(255, 0, 0)",24-20,1,-53.0,None
2,2959,"(0, 0, 255)",13x22,1,7.0,None
2,2959,"(255, 0, 0)",25x18,1,7.0,None
2,2959,"(0, 0, 255)",31x24,1,-21.0,None
2,2959,"(255, 0, 0)",28x19,1,30.0,None
2,2959,"(0, 0, 255)",3-7,1,0.0,None
2,2959,"(255, 0, 0)",18-15,1,0.0,None
2,2959,"(0, 0, 255)",6-9,1,-23.0,None
2,2959,"(255, 0, 0)",15x6,1,-21.0,None
2,2959,"(0, 0, 255)",1x10,1,30.0,None
2,2959,"(255, 0, 0)",19-15,1,-72.0,None
2,2959,"(0, 0, 255)",10x19,1,60.0,None
2,2959,"(255, 0, 0)",30-25,1,0.0,None
2,2959,"(0, 0, 255)",7-11,1,0.0,None
2,2959,"(255, 0, 0)",25-21,1,0.0,None
2,2959,"(0, 0, 255)",2-6,1,0.0,None
2,2959,"(255, 0, 0)",21-17,1,0.0,None
2,2959,"(0, 0, 255)",9-13,1,-21.0,None
2,2959,"(255, 0, 0)",17-14,1,30.0,None
2,2959,"(0, 0, 255)",6-9,1,-21.0,None
2,2959,"(255, 0, 0)",20-16,1,-102.0,None
2,2959,"(0, 0, 255)",9x18,1,-42.0,None
2,2959,"(255, 0, 0)",16x7,1,60.0,None
2,2959,"(0, 0, 255)",8-11,1,-28.0,None
2,2959,"(255, 0, 0)",7-3,1,40.0,None
2,2959,"(0, 0, 255)",13-17,1,0.0,None
2,2959,"(255, 0, 0)",29-25,1,0.0,None
2,2959,"(0, 0, 255)",5-9,1,0.0,None
2,2959,"(255, 0, 0)",3-7,1,-21.0,None
2,2959,"(0, 0, 255)",19-23,1,-51.0,None
2,2959,"(255, 0, 0)",7x16,1,30.0,None
2,2959,"(0, 0, 255)",9-13,1,0.0,None
2,2959,"(255, 0, 0)",16-20,1,0.0,None
2,2959,"(0, 0, 255)",18-22,1,-72.0,None
2,2959,"(255, 0, 0)",25x18,1,60.0,None
2,2959,"(0, 0, 255)",17-22,1,0.0,None
2,2959,"(255, 0, 0)",18-14,1,0.0,None
2,2959,"(0, 0, 255)",23-27,1,0.0,None
2,2959,"(255, 0, 0)",14-9,1,-28.0,None
2,2959,"(0, 0, 255)",27-31,1,40.0,None
2,2959,"(255, 0, 0)",9-6,1,0.0,None
2,2959,"(0, 0, 255)",22-26,1,-28.0,None
2,2959,"(255, 0, 0)",6-2,1,12.0,None
2,2959,"(0, 0, 255)",31-27,1,0.0,None
2,2959,"(255, 0, 0)",20-16,1,-28.0,None
2,2959,"(0, 0, 255)",26-30,1,40.0,None
2,2959,"(255, 0, 0)",16-20,1,0.0,Tie
2,2959,"(0, 0, 255)",27-32,1,0.0,None
2,2959,"(255, 0, 0)",2-6,1,0.0,None
2,2959,"(0, 0, 255)",30-25,1,0.0,None
2,2959,"(255, 0, 0)",6-2,1,0.0,None
2,2959,"(0, 0, 255)",25-22,1,0.0,None
2,2959,"(255, 0, 0)",20-16,1,0.0,None
2,2959,"(0, 0, 255)",32-27,1,0.0,None
2,2959,"(255, 0, 0)",16-19,1,0.0,None
2,2959,"(0, 0, 255)",27-31,1,0.0,None
2,2959,"(255, 0, 0)",19-23,1,0.0,None
2,2959,"(0, 0, 255)",22-18,1,-72.0,None
2,2959,"(255, 0, 0)",23x14,1,60.0,None
2,2959,"(0, 0, 255)",31-26,1,0.0,None
2,2959,"(255, 0, 0)",14-17,1,-51.0,None
2,2959,"(0, 0, 255)",13x22,1,30.0,None
2,2959,"(255, 0, 0)",2-6,1,0.0,None
2,2959,"(0, 0, 255)",26-31,1,0.0,None
2,2959,"(255, 0, 0)",6-1,1,0.0,None
2,2959,"(0, 0, 255)",31-26,1,0.0,Tie
2,2959,"(255, 0, 0)",1-5,1,0.0,None
2,2959,"(0, 0, 255)",26-30,1,0.0,None
2,2959,"(255, 0, 0)",5-1,1,0.0,Tie
2,2959,"(0, 0, 255)",22-25,1,0.0,None
2,2959,"(255, 0, 0)",1-5,1,-28.0,None
2,2959,"(0, 0, 255)",30-26,1,0.0,Tie
