epoch,episode,turn,move,reward,winner
3,3418,"(0, 0, 255)",11-16,0.0,None
3,3418,"(255, 0, 0)",24-20,-21.0,None
3,3418,"(0, 0, 255)",16-19,-23.0,None
3,3418,"(255, 0, 0)",23x16,-21.0,None
3,3418,"(0, 0, 255)",12x19,30.0,None
3,3418,"(255, 0, 0)",28-24,-72.0,None
3,3418,"(0, 0, 255)",19x28,60.0,None
3,3418,"(255, 0, 0)",27-24,0.0,None
3,3418,"(0, 0, 255)",10-15,0.0,None
3,3418,"(255, 0, 0)",31-27,0.0,None
3,3418,"(0, 0, 255)",9-14,0.0,None
3,3418,"(255, 0, 0)",27-23,0.0,None
3,3418,"(0, 0, 255)",14-17,-81.0,None
3,3418,"(255, 0, 0)",21x14,30.0,None
3,3418,"(0, 0, 255)",8-12,0.0,None
3,3418,"(255, 0, 0)",23-19,-21.0,None
3,3418,"(0, 0, 255)",7-11,-23.0,None
3,3418,"(255, 0, 0)",19x10,-21.0,None
3,3418,"(0, 0, 255)",6x15,30.0,None
3,3418,"(255, 0, 0)",25-21,0.0,None
3,3418,"(0, 0, 255)",5-9,-72.0,None
3,3418,"(255, 0, 0)",14x5,60.0,None
3,3418,"(0, 0, 255)",12-16,0.0,None
3,3418,"(255, 0, 0)",32-27,-28.0,None
3,3418,"(0, 0, 255)",15-18,-16.0,None
3,3418,"(255, 0, 0)",22x15x8,-42.0,None
3,3418,"(0, 0, 255)",3x12,-21.0,None
3,3418,"(255, 0, 0)",20x11,2.0,None
3,3418,"(0, 0, 255)",4-8,-100.0,None
3,3418,"(255, 0, 0)",11x4,72.0,None
3,3418,"(0, 0, 255)",12-16,0.0,None
3,3418,"(255, 0, 0)",29-25,-28.0,None
3,3418,"(0, 0, 255)",16-19,-51.0,None
3,3418,"(255, 0, 0)",24x15,2.0,None
3,3418,"(0, 0, 255)",28-32,19.0,None
3,3418,"(255, 0, 0)",26-23,30.0,None
3,3418,"(0, 0, 255)",32-28,0.0,None
3,3418,"(255, 0, 0)",27-24,-72.0,None
3,3418,"(0, 0, 255)",28x19x10,60.0,None
3,3418,"(255, 0, 0)",23-19,0.0,None
3,3418,"(0, 0, 255)",10-15,-72.0,None
3,3418,"(255, 0, 0)",19x10,60.0,None
3,3418,"(0, 0, 255)",1-6,-100.0,None
3,3418,"(255, 0, 0)",10x1,100.0,None
3,3418,"(0, 0, 255)",2-6,-401.0,"(255, 0, 0)"
3,3418,"(255, 0, 0)",1x10,530.0,"(255, 0, 0)"
