epoch,episode,turn,move,reward,winner
1,1206,"(0, 0, 255)",10-15,0.0,None
1,1206,"(255, 0, 0)",22-17,0.0,None
1,1206,"(0, 0, 255)",11-16,0.0,None
1,1206,"(255, 0, 0)",24-19,5.0,None
1,1206,"(0, 0, 255)",15x24,-51.0,None
1,1206,"(255, 0, 0)",28x19,30.0,None
1,1206,"(0, 0, 255)",8-11,0.0,None
1,1206,"(255, 0, 0)",32-28,0.0,None
1,1206,"(0, 0, 255)",11-15,5.0,None
1,1206,"(255, 0, 0)",19x10,-51.0,None
1,1206,"(0, 0, 255)",7x14,7.0,None
1,1206,"(255, 0, 0)",17x10,-21.0,None
1,1206,"(0, 0, 255)",6x15,30.0,None
1,1206,"(255, 0, 0)",27-24,0.0,None
1,1206,"(0, 0, 255)",16-19,-23.0,None
1,1206,"(255, 0, 0)",23x16,-21.0,None
1,1206,"(0, 0, 255)",12x19,30.0,None
1,1206,"(255, 0, 0)",25-22,0.0,None
1,1206,"(0, 0, 255)",9-13,0.0,None
1,1206,"(255, 0, 0)",21-17,0.0,None
1,1206,"(0, 0, 255)",4-8,0.0,None
1,1206,"(255, 0, 0)",24-20,0.0,None
1,1206,"(0, 0, 255)",19-24,-72.0,None
1,1206,"(255, 0, 0)",28x19x10,60.0,None
1,1206,"(0, 0, 255)",8-11,0.0,None
1,1206,"(255, 0, 0)",10-7,-51.0,None
1,1206,"(0, 0, 255)",3x10,30.0,None
1,1206,"(255, 0, 0)",20-16,-72.0,None
1,1206,"(0, 0, 255)",11x20,60.0,None
1,1206,"(255, 0, 0)",26-23,0.0,None
1,1206,"(0, 0, 255)",20-24,0.0,None
1,1206,"(255, 0, 0)",23-19,0.0,None
1,1206,"(0, 0, 255)",1-6,0.0,None
1,1206,"(255, 0, 0)",17-14,-16.0,None
1,1206,"(0, 0, 255)",10x17x26,-21.0,None
1,1206,"(255, 0, 0)",31x22,30.0,None
1,1206,"(0, 0, 255)",13-17,-72.0,None
1,1206,"(255, 0, 0)",22x13,60.0,None
1,1206,"(0, 0, 255)",6-10,0.0,None
1,1206,"(255, 0, 0)",19-15,-72.0,None
1,1206,"(0, 0, 255)",10x19,60.0,None
1,1206,"(255, 0, 0)",29-25,0.0,None
1,1206,"(0, 0, 255)",2-7,0.0,None
1,1206,"(255, 0, 0)",25-22,0.0,None
1,1206,"(0, 0, 255)",24-28,0.0,None
1,1206,"(255, 0, 0)",30-25,-28.0,None
1,1206,"(0, 0, 255)",19-23,0.0,None
1,1206,"(255, 0, 0)",22-17,-28.0,None
1,1206,"(0, 0, 255)",28-32,40.0,None
1,1206,"(255, 0, 0)",25-21,0.0,None
1,1206,"(0, 0, 255)",7-10,28.0,None
1,1206,"(255, 0, 0)",17-14,-23.0,None
1,1206,"(0, 0, 255)",10x17,-21.0,None
1,1206,"(255, 0, 0)",21x14,30.0,None
1,1206,"(0, 0, 255)",32-28,0.0,None
1,1206,"(255, 0, 0)",14-10,0.0,None
1,1206,"(0, 0, 255)",23-26,0.0,None
1,1206,"(255, 0, 0)",13-9,-51.0,None
1,1206,"(0, 0, 255)",5x14,30.0,None
1,1206,"(255, 0, 0)",10-7,-28.0,None
1,1206,"(0, 0, 255)",26-31,12.0,None
1,1206,"(255, 0, 0)",7-2,40.0,None
1,1206,"(0, 0, 255)",14-17,0.0,None
1,1206,"(255, 0, 0)",2-7,0.0,None
1,1206,"(0, 0, 255)",28-24,0.0,None
1,1206,"(255, 0, 0)",7-2,0.0,None
1,1206,"(0, 0, 255)",31-27,0.0,None
1,1206,"(255, 0, 0)",2-7,0.0,None
1,1206,"(0, 0, 255)",24-19,0.0,None
1,1206,"(255, 0, 0)",7-10,0.0,None
1,1206,"(0, 0, 255)",17-22,0.0,None
1,1206,"(255, 0, 0)",10-6,0.0,None
1,1206,"(0, 0, 255)",19-24,0.0,None
1,1206,"(255, 0, 0)",6-2,0.0,None
1,1206,"(0, 0, 255)",27-23,0.0,None
1,1206,"(255, 0, 0)",2-7,0.0,None
1,1206,"(0, 0, 255)",24-20,0.0,None
1,1206,"(255, 0, 0)",7-10,0.0,None
1,1206,"(0, 0, 255)",23-26,0.0,None
1,1206,"(255, 0, 0)",10-15,0.0,None
1,1206,"(0, 0, 255)",26-30,0.0,None
1,1206,"(255, 0, 0)",15-18,-21.0,None
1,1206,"(0, 0, 255)",20-24,-23.0,None
1,1206,"(255, 0, 0)",18x25,-371.0,"(0, 0, 255)"
1,1206,"(0, 0, 255)",30x21,530.0,"(0, 0, 255)"
