epoch,episode,turn,move,log_prob,reward,winner
1,783,"(0, 0, 255)",9-13,-1.9459101490553135,0.0,None
1,783,"(255, 0, 0)",21-17,-1.9459101490553135,0.0,None
1,783,"(0, 0, 255)",11-15,-1.9459101490553135,0.0,None
1,783,"(255, 0, 0)",23-18,-1.9459101490553135,-21.0,None
1,783,"(0, 0, 255)",10-14,-1.9459101490553135,-53.0,None
1,783,"(255, 0, 0)",18x11,-1.0986122886681098,-102.0,None
1,783,"(0, 0, 255)",7x16,-1.0986122886681098,7.0,None
1,783,"(255, 0, 0)",17x10,0.0,-21.0,None
1,783,"(0, 0, 255)",6x15,0.0,30.0,None
1,783,"(255, 0, 0)",22-18,-1.9459101490553135,5.0,None
1,783,"(0, 0, 255)",15x22,0.0,-51.0,None
1,783,"(255, 0, 0)",26x17,-0.6931471805599453,7.0,None
1,783,"(0, 0, 255)",13x22,0.0,-21.0,None
1,783,"(255, 0, 0)",25x18,0.0,30.0,None
1,783,"(0, 0, 255)",16-19,-2.0794415416798357,-51.0,None
1,783,"(255, 0, 0)",24x15,0.0,30.0,None
1,783,"(0, 0, 255)",1-6,-1.9459101490553135,0.0,None
1,783,"(255, 0, 0)",18-14,-2.3025850929940455,0.0,None
1,783,"(0, 0, 255)",8-11,-1.9459101490553135,-23.0,None
1,783,"(255, 0, 0)",15x8,0.0,-21.0,None
1,783,"(0, 0, 255)",4x11,0.0,30.0,None
1,783,"(255, 0, 0)",29-25,-2.1972245773362196,0.0,None
1,783,"(0, 0, 255)",6-10,-2.1972245773362196,-23.0,None
1,783,"(255, 0, 0)",14x7,0.0,-21.0,None
1,783,"(0, 0, 255)",3x10,0.0,30.0,None
1,783,"(255, 0, 0)",27-23,-1.9459101490553135,0.0,None
1,783,"(0, 0, 255)",10-14,-2.0794415416798357,0.0,None
1,783,"(255, 0, 0)",25-22,-2.1972245773362196,0.0,None
1,783,"(0, 0, 255)",14-17,-2.0794415416798357,-72.0,None
1,783,"(255, 0, 0)",22x13,0.0,60.0,None
1,783,"(0, 0, 255)",12-16,-1.791759469228055,0.0,None
1,783,"(255, 0, 0)",31-27,-2.1972245773362196,0.0,None
1,783,"(0, 0, 255)",2-6,-1.791759469228055,0.0,None
1,783,"(255, 0, 0)",23-19,-1.9459101490553135,-23.0,None
1,783,"(0, 0, 255)",16x23,0.0,-21.0,None
1,783,"(255, 0, 0)",27x18,0.0,30.0,None
1,783,"(0, 0, 255)",5-9,-1.6094379124341003,0.0,None
1,783,"(255, 0, 0)",28-24,-1.791759469228055,0.0,None
1,783,"(0, 0, 255)",6-10,-1.3862943611198906,-51.0,None
1,783,"(255, 0, 0)",13x6,0.0,30.0,None
1,783,"(0, 0, 255)",10-14,-1.3862943611198906,-72.0,None
1,783,"(255, 0, 0)",18x9,0.0,60.0,None
1,783,"(0, 0, 255)",11-15,-0.6931471805599453,-28.0,None
1,783,"(255, 0, 0)",24-19,-2.1972245773362196,-72.0,None
1,783,"(0, 0, 255)",15x24,0.0,32.0,None
1,783,"(255, 0, 0)",30-25,-1.9459101490553135,0.0,None
1,783,"(0, 0, 255)",24-27,-0.6931471805599453,-401.0,"(255, 0, 0)"
1,783,"(255, 0, 0)",32x23,0.0,530.0,"(255, 0, 0)"
