epoch,episode,turn,move,reward,winner
3,4934,"(0, 0, 255)",11-15,0.0,None
3,4934,"(255, 0, 0)",24-20,0.0,None
3,4934,"(0, 0, 255)",15-18,-53.0,None
3,4934,"(255, 0, 0)",22x15,7.0,None
3,4934,"(0, 0, 255)",10x19,7.0,None
3,4934,"(255, 0, 0)",23x16,-21.0,None
3,4934,"(0, 0, 255)",12x19,30.0,None
3,4934,"(255, 0, 0)",27-24,28.0,None
3,4934,"(0, 0, 255)",19-23,-51.0,None
3,4934,"(255, 0, 0)",26x19,30.0,None
3,4934,"(0, 0, 255)",9-14,0.0,None
3,4934,"(255, 0, 0)",31-27,0.0,None
3,4934,"(0, 0, 255)",8-12,0.0,None
3,4934,"(255, 0, 0)",30-26,0.0,None
3,4934,"(0, 0, 255)",12-16,-102.0,None
3,4934,"(255, 0, 0)",20x11,-91.0,None
3,4934,"(0, 0, 255)",7x16x23x30,130.0,None
3,4934,"(255, 0, 0)",21-17,-102.0,None
3,4934,"(0, 0, 255)",14x21,60.0,None
3,4934,"(255, 0, 0)",27-23,0.0,None
3,4934,"(0, 0, 255)",30-26,7.0,None
3,4934,"(255, 0, 0)",24-20,-109.0,None
3,4934,"(0, 0, 255)",21x30,49.0,None
3,4934,"(255, 0, 0)",28-24,-72.0,None
3,4934,"(0, 0, 255)",26x19x28,60.0,None
3,4934,"(255, 0, 0)",20-16,0.0,None
3,4934,"(0, 0, 255)",28-24,0.0,None
3,4934,"(255, 0, 0)",32-27,-72.0,None
3,4934,"(0, 0, 255)",24x31,60.0,None
3,4934,"(255, 0, 0)",16-11,0.0,None
3,4934,"(0, 0, 255)",6-10,28.0,None
3,4934,"(255, 0, 0)",11-7,-51.0,None
3,4934,"(0, 0, 255)",2x11,58.0,None
3,4934,"(255, 0, 0)",29-25,-401.0,"(0, 0, 255)"
3,4934,"(0, 0, 255)",30x21,530.0,"(0, 0, 255)"
