epoch,episode,turn,agent,move,reward,success,winner
72,5089,"(0, 0, 255)",Agent 2,10-14,0.1,True,None
72,5089,"(255, 0, 0)",Agent 1,22-18,0.1,True,None
72,5089,"(0, 0, 255)",Agent 2,9-13,-2.9,True,None
72,5089,"(255, 0, 0)",Agent 1,18x9,2.0999999999999996,True,None
72,5089,"(0, 0, 255)",Agent 2,5x14,5.1,True,None
72,5089,"(255, 0, 0)",Agent 1,23-19,0.1,True,None
72,5089,"(0, 0, 255)",Agent 2,14-17,-2.9,True,None
72,5089,"(255, 0, 0)",Agent 1,21x14,5.1,True,None
72,5089,"(0, 0, 255)",Agent 2,12-16,-2.9,True,None
72,5089,"(255, 0, 0)",Agent 1,19x12,8.1,True,None
72,5089,"(0, 0, 255)",Agent 2,13-17,0.1,True,None
72,5089,"(255, 0, 0)",Agent 1,26-23,0.1,True,None
72,5089,"(0, 0, 255)",Agent 2,6-10,0.1,True,None
72,5089,"(255, 0, 0)",Agent 1,30-26,0.1,True,None
72,5089,"(0, 0, 255)",Agent 2,2-6,0.1,True,None
72,5089,"(255, 0, 0)",Agent 1,26-22,-2.9,True,None
72,5089,"(0, 0, 255)",Agent 2,17x26,2.0999999999999996,True,None
72,5089,"(255, 0, 0)",Agent 1,31x22,2.0999999999999996,True,None
72,5089,"(0, 0, 255)",Agent 2,10x17x26,25.1,True,None
72,5089,"(255, 0, 0)",Agent 1,24-19,0.1,True,None
72,5089,"(0, 0, 255)",Agent 2,26-30,20.1,True,None
72,5089,"(255, 0, 0)",Agent 1,28-24,-2.9,True,None
72,5089,"(0, 0, 255)",Agent 2,30x21,5.1,True,None
72,5089,"(255, 0, 0)",Agent 1,23-18,0.1,True,None
72,5089,"(0, 0, 255)",Agent 2,21-17,0.1,True,None
72,5089,"(255, 0, 0)",Agent 1,32-28,0.1,True,None
72,5089,"(0, 0, 255)",Agent 2,17-21,0.1,True,None
72,5089,"(255, 0, 0)",Agent 1,29-25,-2.9,True,None
72,5089,"(0, 0, 255)",Agent 2,21x30,5.1,True,None
72,5089,"(255, 0, 0)",Agent 1,19-15,0.1,True,None
72,5089,"(0, 0, 255)",Agent 2,6-10,-2.9,True,None
72,5089,"(255, 0, 0)",Agent 1,15x6,2.0999999999999996,True,None
72,5089,"(0, 0, 255)",Agent 2,1x10,5.1,True,None
72,5089,"(255, 0, 0)",Agent 1,24-19,0.1,True,None
72,5089,"(0, 0, 255)",Agent 2,11-15,-2.9,True,None
72,5089,"(255, 0, 0)",Agent 1,18x11x2,48.1,True,None
72,5089,"(0, 0, 255)",Agent 2,10-14,0.1,True,None
72,5089,"(255, 0, 0)",Agent 1,28-24,0.1,True,None
72,5089,"(0, 0, 255)",Agent 2,14-17,0.1,True,None
72,5089,"(255, 0, 0)",Agent 1,19-15,0.1,True,None
72,5089,"(0, 0, 255)",Agent 2,17-21,0.1,True,None
72,5089,"(255, 0, 0)",Agent 1,15-10,0.1,True,None
72,5089,"(0, 0, 255)",Agent 2,21-25,0.1,True,None
72,5089,"(255, 0, 0)",Agent 1,10-6,0.1,True,None
72,5089,"(0, 0, 255)",Agent 2,25-29,20.1,True,None
72,5089,"(255, 0, 0)",Agent 1,24-19,0.1,True,None
72,5089,"(0, 0, 255)",Agent 2,29-25,0.1,True,None
72,5089,"(255, 0, 0)",Agent 1,19-15,0.1,True,None
72,5089,"(0, 0, 255)",Agent 2,25-21,0.1,True,None
72,5089,"(255, 0, 0)",Agent 1,15-10,0.1,True,None
72,5089,"(0, 0, 255)",Agent 2,21-17,0.1,True,None
72,5089,"(255, 0, 0)",Agent 1,10-7,-2.9,True,None
72,5089,"(0, 0, 255)",Agent 2,3x10,2.0999999999999996,True,None
72,5089,"(255, 0, 0)",Agent 1,12x3,25.1,True,None
72,5089,"(0, 0, 255)",Agent 2,30-25,0.1,True,None
72,5089,"(255, 0, 0)",Agent 1,3-8,-2.9,True,None
72,5089,"(0, 0, 255)",Agent 2,4x11,5.1,True,None
72,5089,"(255, 0, 0)",Agent 1,27-23,0.1,True,None
72,5089,"(0, 0, 255)",Agent 2,17-22,0.1,True,None
