epoch,episode,turn,agent,move,reward,success,winner
95,7201,"(0, 0, 255)",Agent 1,12-16,0.1,True,None
95,7201,"(255, 0, 0)",Agent 2,24-20,0.1,True,None
95,7201,"(0, 0, 255)",Agent 1,16-19,-2.9,True,None
95,7201,"(255, 0, 0)",Agent 2,23x16,5.1,True,None
95,7201,"(0, 0, 255)",Agent 1,9-14,0.1,True,None
95,7201,"(255, 0, 0)",Agent 2,28-24,0.1,True,None
95,7201,"(0, 0, 255)",Agent 1,14-18,-2.9,True,None
95,7201,"(255, 0, 0)",Agent 2,22x15,-0.9000000000000004,True,None
95,7201,"(0, 0, 255)",Agent 1,10x19x28,25.1,True,None
95,7201,"(255, 0, 0)",Agent 2,27-24,0.1,True,None
95,7201,"(0, 0, 255)",Agent 1,6-10,0.1,True,None
95,7201,"(255, 0, 0)",Agent 2,31-27,0.1,True,None
95,7201,"(0, 0, 255)",Agent 1,11-15,0.1,True,None
95,7201,"(255, 0, 0)",Agent 2,26-23,0.1,True,None
95,7201,"(0, 0, 255)",Agent 1,15-19,-2.9,True,None
95,7201,"(255, 0, 0)",Agent 2,24x15x6,19.1,True,None
95,7201,"(0, 0, 255)",Agent 1,2x9,5.1,True,None
95,7201,"(255, 0, 0)",Agent 2,30-26,0.1,True,None
95,7201,"(0, 0, 255)",Agent 1,9-14,0.1,True,None
95,7201,"(255, 0, 0)",Agent 2,26-22,0.1,True,None
95,7201,"(0, 0, 255)",Agent 1,14-17,-5.9,True,None
95,7201,"(255, 0, 0)",Agent 2,21x14,8.1,True,None
95,7201,"(0, 0, 255)",Agent 1,7-10,-2.9,True,None
95,7201,"(255, 0, 0)",Agent 2,14x7,2.0999999999999996,True,None
95,7201,"(0, 0, 255)",Agent 1,3x10,5.1,True,None
95,7201,"(255, 0, 0)",Agent 2,25-21,0.1,True,None
95,7201,"(0, 0, 255)",Agent 1,8-11,-2.9,True,None
95,7201,"(255, 0, 0)",Agent 2,16x7,5.1,True,None
95,7201,"(0, 0, 255)",Agent 1,5-9,0.1,True,None
95,7201,"(255, 0, 0)",Agent 2,27-24,0.1,True,None
95,7201,"(0, 0, 255)",Agent 1,10-15,0.1,True,None
95,7201,"(255, 0, 0)",Agent 2,24-19,-2.9,True,None
95,7201,"(0, 0, 255)",Agent 1,15x24,8.1,True,None
95,7201,"(255, 0, 0)",Agent 2,23-19,0.1,True,None
95,7201,"(0, 0, 255)",Agent 1,4-8,0.1,True,None
95,7201,"(255, 0, 0)",Agent 2,22-18,0.1,True,None
95,7201,"(0, 0, 255)",Agent 1,24-27,-2.9,True,None
95,7201,"(255, 0, 0)",Agent 2,32x23,5.1,True,None
95,7201,"(0, 0, 255)",Agent 1,28-32,20.1,True,None
95,7201,"(255, 0, 0)",Agent 2,29-25,0.1,True,None
95,7201,"(0, 0, 255)",Agent 1,32-28,0.1,True,None
95,7201,"(255, 0, 0)",Agent 2,25-22,0.1,True,None
95,7201,"(0, 0, 255)",Agent 1,28-24,0.1,True,None
95,7201,"(255, 0, 0)",Agent 2,22-17,-2.9,True,None
95,7201,"(0, 0, 255)",Agent 1,24x15x22x13,125.1,True,None
95,7201,"(255, 0, 0)",Agent 2,20-16,0.1,True,None
95,7201,"(0, 0, 255)",Agent 1,8-11,0.1,True,None
95,7201,"(255, 0, 0)",Agent 2,16-12,3.1,True,None
95,7201,"(0, 0, 255)",Agent 1,9-14,0.1,True,None
95,7201,"(255, 0, 0)",Agent 2,12-8,0.1,True,None
95,7201,"(0, 0, 255)",Agent 1,14-17,-2.9,True,None
95,7201,"(255, 0, 0)",Agent 2,21x14,5.1,True,None
95,7201,"(0, 0, 255)",Agent 1,11-15,0.1,True,None
95,7201,"(255, 0, 0)",Agent 2,23-19,-2.9,True,None
95,7201,"(0, 0, 255)",Agent 1,15x24,8.1,True,None
95,7201,"(255, 0, 0)",Agent 2,8-3,20.1,True,None
95,7201,"(0, 0, 255)",Agent 1,13-9,-2.9,True,None
95,7201,"(255, 0, 0)",Agent 2,14x5,8.1,True,None
95,7201,"(0, 0, 255)",Agent 1,24-28,0.1,True,None
95,7201,"(255, 0, 0)",Agent 2,7-2,20.1,True,None
95,7201,"(0, 0, 255)",Agent 1,28-32,20.1,True,None
95,7201,"(255, 0, 0)",Agent 2,3-7,0.1,True,None
95,7201,"(0, 0, 255)",Agent 1,32-28,0.1,True,None
95,7201,"(255, 0, 0)",Agent 2,7-10,0.1,True,None
95,7201,"(0, 0, 255)",Agent 1,28-32,0.1,True,None
95,7201,"(255, 0, 0)",Agent 2,10-6,-2.9,True,None
95,7201,"(0, 0, 255)",Agent 1,1x10,5.1,True,None
95,7201,"(255, 0, 0)",Agent 2,5-1,20.1,True,None
95,7201,"(0, 0, 255)",Agent 1,32-27,0.1,True,None
95,7201,"(255, 0, 0)",Agent 2,2-6,0.1,True,None
95,7201,"(0, 0, 255)",Agent 1,27-23,-2.9,True,None
95,7201,"(255, 0, 0)",Agent 2,6x15,5.1,True,None
95,7201,"(0, 0, 255)",Agent 1,23-26,0.1,True,None
95,7201,"(255, 0, 0)",Agent 2,15-10,0.1,True,None
95,7201,"(0, 0, 255)",Agent 1,26-30,0.1,True,None
95,7201,"(255, 0, 0)",Agent 2,10-6,0.1,True,None
95,7201,"(0, 0, 255)",Agent 1,30-26,0.1,True,None
95,7201,"(255, 0, 0)",Agent 2,6-9,0.1,True,None
95,7201,"(0, 0, 255)",Agent 1,26-30,0.1,True,None
95,7201,"(255, 0, 0)",Agent 2,9-5,0.1,True,None
95,7201,"(0, 0, 255)",Agent 1,30-26,0.1,True,None
95,7201,"(255, 0, 0)",Agent 2,5-9,0.1,True,None
95,7201,"(0, 0, 255)",Agent 1,26-30,0.1,True,None
95,7201,"(255, 0, 0)",Agent 2,9-5,0.1,True,None
95,7201,"(0, 0, 255)",Agent 1,30-26,0.1,True,None
95,7201,"(255, 0, 0)",Agent 2,5-9,0.1,True,None
