epoch,episode,turn,move,reward,winner
1,1536,"(0, 0, 255)",11-16,0.0,None
1,1536,"(255, 0, 0)",21-17,0.0,None
1,1536,"(0, 0, 255)",7-11,0.0,None
1,1536,"(255, 0, 0)",23-18,0.0,None
1,1536,"(0, 0, 255)",11-15,-23.0,None
1,1536,"(255, 0, 0)",18x11,-21.0,None
1,1536,"(0, 0, 255)",8x15,30.0,None
1,1536,"(255, 0, 0)",26-23,0.0,None
1,1536,"(0, 0, 255)",4-8,0.0,None
1,1536,"(255, 0, 0)",23-18,-21.0,None
1,1536,"(0, 0, 255)",15-19,-23.0,None
1,1536,"(255, 0, 0)",24x15,-21.0,None
1,1536,"(0, 0, 255)",10x19,30.0,None
1,1536,"(255, 0, 0)",25-21,0.0,None
1,1536,"(0, 0, 255)",2-7,0.0,None
1,1536,"(255, 0, 0)",27-24,-21.0,None
1,1536,"(0, 0, 255)",9-13,-51.0,None
1,1536,"(255, 0, 0)",24x15,30.0,None
1,1536,"(0, 0, 255)",7-11,0.0,None
1,1536,"(255, 0, 0)",28-24,0.0,None
1,1536,"(0, 0, 255)",5-9,0.0,None
1,1536,"(255, 0, 0)",29-25,0.0,None
1,1536,"(0, 0, 255)",16-20,-21.0,None
1,1536,"(255, 0, 0)",18-14,-132.0,None
1,1536,"(0, 0, 255)",9x18,39.0,None
1,1536,"(255, 0, 0)",17-14,5.0,None
1,1536,"(0, 0, 255)",20x27,-51.0,None
1,1536,"(255, 0, 0)",32x23,7.0,None
1,1536,"(0, 0, 255)",18x27,7.0,None
1,1536,"(255, 0, 0)",31x24,7.0,None
1,1536,"(0, 0, 255)",11x18,-21.0,None
1,1536,"(255, 0, 0)",22x15,30.0,None
1,1536,"(0, 0, 255)",3-7,0.0,None
1,1536,"(255, 0, 0)",24-19,0.0,None
1,1536,"(0, 0, 255)",12-16,-142.0,None
1,1536,"(255, 0, 0)",19x12x3x10,160.0,None
1,1536,"(0, 0, 255)",13-17,0.0,None
1,1536,"(255, 0, 0)",10-7,0.0,None
1,1536,"(0, 0, 255)",6-10,-23.0,None
1,1536,"(255, 0, 0)",15x6,-21.0,None
1,1536,"(0, 0, 255)",1x10,30.0,None
1,1536,"(255, 0, 0)",25-22,-23.0,None
1,1536,"(0, 0, 255)",17x26,7.0,None
1,1536,"(255, 0, 0)",30x23,7.0,None
1,1536,"(0, 0, 255)",10x17,-371.0,"(255, 0, 0)"
1,1536,"(255, 0, 0)",21x14,530.0,"(255, 0, 0)"
