epoch,episode,turn,move,reward,winner
1,103,"(0, 0, 255)",9-14,0.0,None
1,103,"(255, 0, 0)",22-18,-21.0,None
1,103,"(0, 0, 255)",12-16,5.0,None
1,103,"(255, 0, 0)",18x9,-51.0,None
1,103,"(0, 0, 255)",5x14,30.0,None
1,103,"(255, 0, 0)",26-22,0.0,None
1,103,"(0, 0, 255)",16-19,-53.0,None
1,103,"(255, 0, 0)",23x16,-21.0,None
1,103,"(0, 0, 255)",11x20,30.0,None
1,103,"(255, 0, 0)",22-17,0.0,None
1,103,"(0, 0, 255)",7-11,0.0,None
1,103,"(255, 0, 0)",24-19,0.0,None
1,103,"(0, 0, 255)",8-12,0.0,None
1,103,"(255, 0, 0)",27-24,5.0,None
1,103,"(0, 0, 255)",20x27,-51.0,None
1,103,"(255, 0, 0)",31x24,30.0,None
1,103,"(0, 0, 255)",11-15,0.0,None
1,103,"(255, 0, 0)",30-26,0.0,None
1,103,"(0, 0, 255)",2-7,0.0,None
1,103,"(255, 0, 0)",26-22,0.0,None
1,103,"(0, 0, 255)",3-8,0.0,None
1,103,"(255, 0, 0)",32-27,0.0,None
1,103,"(0, 0, 255)",7-11,0.0,None
1,103,"(255, 0, 0)",17-13,0.0,None
1,103,"(0, 0, 255)",11-16,-21.0,None
1,103,"(255, 0, 0)",13-9,-102.0,None
1,103,"(0, 0, 255)",6x13,39.0,None
1,103,"(255, 0, 0)",21-17,-130.0,None
1,103,"(0, 0, 255)",16x23x32,79.0,None
1,103,"(255, 0, 0)",24-19,-130.0,None
1,103,"(0, 0, 255)",15x24,7.0,None
1,103,"(255, 0, 0)",28x19,-70.0,None
1,103,"(0, 0, 255)",14x21x30,100.0,None
1,103,"(255, 0, 0)",22-18,0.0,None
1,103,"(0, 0, 255)",10-14,-72.0,None
1,103,"(255, 0, 0)",18x9,60.0,None
1,103,"(0, 0, 255)",13-17,0.0,None
1,103,"(255, 0, 0)",19-16,-51.0,None
1,103,"(0, 0, 255)",12x19,30.0,None
1,103,"(255, 0, 0)",9-5,0.0,None
1,103,"(0, 0, 255)",30-25,-72.0,None
1,103,"(255, 0, 0)",29x22x13,60.0,None
1,103,"(0, 0, 255)",32-28,0.0,None
1,103,"(255, 0, 0)",13-9,0.0,None
1,103,"(0, 0, 255)",8-11,28.0,None
1,103,"(255, 0, 0)",9-6,-51.0,None
1,103,"(0, 0, 255)",1x10,2.0,None
1,103,"(255, 0, 0)",5-1,40.0,None
1,103,"(0, 0, 255)",10-14,0.0,None
1,103,"(255, 0, 0)",1-5,0.0,None
1,103,"(0, 0, 255)",4-8,0.0,None
1,103,"(255, 0, 0)",5-9,-21.0,None
1,103,"(0, 0, 255)",11-15,-93.0,None
1,103,"(255, 0, 0)",9x18x11x4,90.0,None
1,103,"(0, 0, 255)",28-24,0.0,None
1,103,"(255, 0, 0)",4-8,0.0,None
1,103,"(0, 0, 255)",24-28,0.0,None
1,103,"(255, 0, 0)",8-4,0.0,Tie
