epoch,episode,turn,agent,move,reward,success,winner
60,5021,"(0, 0, 255)",Agent 1,12-16,0.1,True,None
60,5021,"(255, 0, 0)",Agent 2,24-20,0.1,True,None
60,5021,"(0, 0, 255)",Agent 1,16-19,-2.9,True,None
60,5021,"(255, 0, 0)",Agent 2,23x16,5.1,True,None
60,5021,"(0, 0, 255)",Agent 1,9-14,0.1,True,None
60,5021,"(255, 0, 0)",Agent 2,27-24,0.1,True,None
60,5021,"(0, 0, 255)",Agent 1,14-18,-2.9,True,None
60,5021,"(255, 0, 0)",Agent 2,22x15,-0.9000000000000004,True,None
60,5021,"(0, 0, 255)",Agent 1,10x19,2.0999999999999996,True,None
60,5021,"(255, 0, 0)",Agent 2,24x15,2.0999999999999996,True,None
60,5021,"(0, 0, 255)",Agent 1,11x18,5.1,True,None
60,5021,"(255, 0, 0)",Agent 2,32-27,0.1,True,None
60,5021,"(0, 0, 255)",Agent 1,18-23,-5.9,True,None
60,5021,"(255, 0, 0)",Agent 2,26x19,8.1,True,None
60,5021,"(0, 0, 255)",Agent 1,8-12,0.1,True,None
60,5021,"(255, 0, 0)",Agent 2,30-26,0.1,True,None
60,5021,"(0, 0, 255)",Agent 1,5-9,0.1,True,None
60,5021,"(255, 0, 0)",Agent 2,27-24,0.1,True,None
60,5021,"(0, 0, 255)",Agent 1,9-14,0.1,True,None
60,5021,"(255, 0, 0)",Agent 2,21-17,-2.9,True,None
60,5021,"(0, 0, 255)",Agent 1,14x21x30x23,148.1,True,None
60,5021,"(255, 0, 0)",Agent 2,29-25,0.1,True,None
60,5021,"(0, 0, 255)",Agent 1,23-26,-2.9,True,None
60,5021,"(255, 0, 0)",Agent 2,31x22,5.1,True,None
60,5021,"(0, 0, 255)",Agent 1,7-11,-2.9,True,None
60,5021,"(255, 0, 0)",Agent 2,16x7,-0.9000000000000004,True,None
60,5021,"(0, 0, 255)",Agent 1,2x11,5.1,True,None
60,5021,"(255, 0, 0)",Agent 2,20-16,-2.9,True,None
60,5021,"(0, 0, 255)",Agent 1,11x20x27,28.1,True,None
60,5021,"(255, 0, 0)",Agent 2,22-17,0.1,True,None
60,5021,"(0, 0, 255)",Agent 1,27-32,20.1,True,None
60,5021,"(255, 0, 0)",Agent 2,28-24,0.1,True,None
60,5021,"(0, 0, 255)",Agent 1,32-28,0.1,True,None
60,5021,"(255, 0, 0)",Agent 2,25-22,0.1,True,None
60,5021,"(0, 0, 255)",Agent 1,12-16,-2.9,True,None
60,5021,"(255, 0, 0)",Agent 2,19x12,2.0999999999999996,True,None
60,5021,"(0, 0, 255)",Agent 1,28x19,5.1,True,None
60,5021,"(255, 0, 0)",Agent 2,17-14,0.1,True,None
60,5021,"(0, 0, 255)",Agent 1,19-23,0.1,True,None
60,5021,"(255, 0, 0)",Agent 2,14-10,-2.9,True,None
60,5021,"(0, 0, 255)",Agent 1,6x15,5.1,True,None
60,5021,"(255, 0, 0)",Agent 2,22-18,-5.9,True,None
60,5021,"(0, 0, 255)",Agent 1,15x22,8.1,True,None
60,5021,"(255, 0, 0)",Agent 2,12-8,-5.9,True,None
60,5021,"(0, 0, 255)",Agent 1,3x12,505.1,True,"(0, 0, 255)"
