epoch,episode,turn,move,reward,winner
4,705,"(0, 0, 255)",10-15,0.0,None
4,705,"(255, 0, 0)",24-20,0.0,None
4,705,"(0, 0, 255)",15-18,-53.0,None
4,705,"(255, 0, 0)",22x15,7.0,None
4,705,"(0, 0, 255)",11x18,7.0,None
4,705,"(255, 0, 0)",23x14,-21.0,None
4,705,"(0, 0, 255)",9x18,30.0,None
4,705,"(255, 0, 0)",27-24,0.0,None
4,705,"(0, 0, 255)",12-16,5.0,None
4,705,"(255, 0, 0)",20x11,-51.0,None
4,705,"(0, 0, 255)",7x16,30.0,None
4,705,"(255, 0, 0)",32-27,0.0,None
4,705,"(0, 0, 255)",8-12,0.0,None
4,705,"(255, 0, 0)",27-23,-72.0,None
4,705,"(0, 0, 255)",18x27,60.0,None
4,705,"(255, 0, 0)",25-22,-28.0,None
4,705,"(0, 0, 255)",6-10,0.0,None
4,705,"(255, 0, 0)",30-25,-28.0,None
4,705,"(0, 0, 255)",10-14,0.0,None
4,705,"(255, 0, 0)",24-19,-72.0,None
4,705,"(0, 0, 255)",16x23x30,49.0,None
4,705,"(255, 0, 0)",31x24,30.0,None
4,705,"(0, 0, 255)",12-16,0.0,None
4,705,"(255, 0, 0)",24-19,-72.0,None
4,705,"(0, 0, 255)",16x23,60.0,None
4,705,"(255, 0, 0)",28-24,0.0,None
4,705,"(0, 0, 255)",5-9,0.0,None
4,705,"(255, 0, 0)",24-19,0.0,None
4,705,"(0, 0, 255)",4-8,0.0,None
4,705,"(255, 0, 0)",22-17,-21.0,None
4,705,"(0, 0, 255)",8-12,-51.0,None
4,705,"(255, 0, 0)",17x10,30.0,None
4,705,"(0, 0, 255)",9-14,0.0,None
4,705,"(255, 0, 0)",19-16,-51.0,None
4,705,"(0, 0, 255)",12x19,30.0,None
4,705,"(255, 0, 0)",25-22,0.0,None
4,705,"(0, 0, 255)",14-17,-102.0,None
4,705,"(255, 0, 0)",21x14,60.0,None
4,705,"(0, 0, 255)",23-26,0.0,None
4,705,"(255, 0, 0)",22-17,-28.0,None
4,705,"(0, 0, 255)",19-23,0.0,None
4,705,"(255, 0, 0)",17-13,-28.0,None
4,705,"(0, 0, 255)",23-27,0.0,None
4,705,"(255, 0, 0)",14-9,-28.0,None
4,705,"(0, 0, 255)",27-31,40.0,None
4,705,"(255, 0, 0)",10-7,-81.0,None
4,705,"(0, 0, 255)",2x11,30.0,None
4,705,"(255, 0, 0)",29-25,-51.0,None
4,705,"(0, 0, 255)",30x21,30.0,None
4,705,"(255, 0, 0)",9-5,-28.0,None
4,705,"(0, 0, 255)",26-30,40.0,None
4,705,"(255, 0, 0)",13-9,0.0,None
4,705,"(0, 0, 255)",30-25,28.0,None
4,705,"(255, 0, 0)",9-6,-51.0,None
4,705,"(0, 0, 255)",1x10,2.0,None
4,705,"(255, 0, 0)",5-1,40.0,None
4,705,"(0, 0, 255)",25-22,0.0,None
4,705,"(255, 0, 0)",1-5,0.0,None
4,705,"(0, 0, 255)",21-25,0.0,None
4,705,"(255, 0, 0)",5-1,0.0,None
4,705,"(0, 0, 255)",22-18,0.0,None
4,705,"(255, 0, 0)",1-5,0.0,None
4,705,"(0, 0, 255)",18-15,0.0,None
4,705,"(255, 0, 0)",5-1,0.0,None
4,705,"(0, 0, 255)",25-21,0.0,None
4,705,"(255, 0, 0)",1-5,0.0,None
4,705,"(0, 0, 255)",21-17,0.0,None
4,705,"(255, 0, 0)",5-1,0.0,None
4,705,"(0, 0, 255)",17-14,0.0,None
4,705,"(255, 0, 0)",1-5,0.0,None
4,705,"(0, 0, 255)",15-18,0.0,None
4,705,"(255, 0, 0)",5-1,0.0,None
4,705,"(0, 0, 255)",18-15,0.0,Tie
