epoch,episode,turn,move,reward,winner
1,493,"(0, 0, 255)",12-16,0.0,None
1,493,"(255, 0, 0)",24-19,-21.0,None
1,493,"(0, 0, 255)",16-20,30.0,None
1,493,"(255, 0, 0)",19-16,0.0,None
1,493,"(0, 0, 255)",11-15,0.0,None
1,493,"(255, 0, 0)",27-24,-23.0,None
1,493,"(0, 0, 255)",20x27,-21.0,None
1,493,"(255, 0, 0)",31x24,30.0,None
1,493,"(0, 0, 255)",9-13,0.0,None
1,493,"(255, 0, 0)",24-20,0.0,None
1,493,"(0, 0, 255)",7-11,-23.0,None
1,493,"(255, 0, 0)",16x7,-21.0,None
1,493,"(0, 0, 255)",2x11,30.0,None
1,493,"(255, 0, 0)",21-17,0.0,None
1,493,"(0, 0, 255)",6-9,0.0,None
1,493,"(255, 0, 0)",23-18,0.0,None
1,493,"(0, 0, 255)",3-7,0.0,None
1,493,"(255, 0, 0)",25-21,0.0,None
1,493,"(0, 0, 255)",10-14,-142.0,None
1,493,"(255, 0, 0)",17x10x3x12,160.0,None
1,493,"(0, 0, 255)",9-14,-23.0,None
1,493,"(255, 0, 0)",18x9,-21.0,None
1,493,"(0, 0, 255)",5x14,30.0,None
1,493,"(255, 0, 0)",20-16,-72.0,None
1,493,"(0, 0, 255)",11x20,60.0,None
1,493,"(255, 0, 0)",28-24,-23.0,None
1,493,"(0, 0, 255)",20x27,-21.0,None
1,493,"(255, 0, 0)",32x23,30.0,None
1,493,"(0, 0, 255)",13-17,-51.0,None
1,493,"(255, 0, 0)",22x13,30.0,None
1,493,"(0, 0, 255)",14-18,-72.0,None
1,493,"(255, 0, 0)",23x14,60.0,None
1,493,"(0, 0, 255)",1-6,0.0,None
1,493,"(255, 0, 0)",26-23,0.0,None
1,493,"(0, 0, 255)",4-8,-51.0,None
1,493,"(255, 0, 0)",12x3,30.0,None
1,493,"(0, 0, 255)",15-19,-72.0,None
1,493,"(255, 0, 0)",23x16,88.0,None
1,493,"(0, 0, 255)",6-10,-422.0,"(255, 0, 0)"
1,493,"(255, 0, 0)",14x7,560.0,"(255, 0, 0)"
