epoch,episode,turn,move,reward,winner
1,588,"(0, 0, 255)",11-16,0.0,None
1,588,"(255, 0, 0)",23-18,0.0,None
1,588,"(0, 0, 255)",9-13,0.0,None
1,588,"(255, 0, 0)",27-23,0.0,None
1,588,"(0, 0, 255)",8-11,0.0,None
1,588,"(255, 0, 0)",24-19,0.0,None
1,588,"(0, 0, 255)",11-15,-72.0,None
1,588,"(255, 0, 0)",18x11,60.0,None
1,588,"(0, 0, 255)",3-8,28.0,None
1,588,"(255, 0, 0)",31-27,-121.0,None
1,588,"(0, 0, 255)",8x15x24x31,130.0,None
1,588,"(255, 0, 0)",23-18,0.0,None
1,588,"(0, 0, 255)",16-20,0.0,None
1,588,"(255, 0, 0)",28-24,-23.0,None
1,588,"(0, 0, 255)",20x27,-21.0,None
1,588,"(255, 0, 0)",32x23,30.0,None
1,588,"(0, 0, 255)",31-27,0.0,None
1,588,"(255, 0, 0)",23-19,0.0,None
1,588,"(0, 0, 255)",27-23,28.0,None
1,588,"(255, 0, 0)",18-14,-81.0,None
1,588,"(0, 0, 255)",10x17,7.0,None
1,588,"(255, 0, 0)",21x14,-21.0,None
1,588,"(0, 0, 255)",23x16,30.0,None
1,588,"(255, 0, 0)",25-21,0.0,None
1,588,"(0, 0, 255)",13-17,-51.0,None
1,588,"(255, 0, 0)",22x13,30.0,None
1,588,"(0, 0, 255)",6-9,5.0,None
1,588,"(255, 0, 0)",13x6,-72.0,None
1,588,"(0, 0, 255)",1x10x17,9.0,None
1,588,"(255, 0, 0)",21x14,30.0,None
1,588,"(0, 0, 255)",16-19,0.0,None
1,588,"(255, 0, 0)",14-10,-72.0,None
1,588,"(0, 0, 255)",7x14,60.0,None
1,588,"(255, 0, 0)",29-25,0.0,None
1,588,"(0, 0, 255)",12-16,0.0,None
1,588,"(255, 0, 0)",25-21,0.0,None
1,588,"(0, 0, 255)",19-15,0.0,None
1,588,"(255, 0, 0)",26-23,0.0,None
1,588,"(0, 0, 255)",16-20,0.0,None
1,588,"(255, 0, 0)",23-19,-72.0,None
1,588,"(0, 0, 255)",15x24,60.0,None
1,588,"(255, 0, 0)",21-17,-72.0,None
1,588,"(0, 0, 255)",14x21,60.0,None
1,588,"(255, 0, 0)",30-25,-429.0,"(0, 0, 255)"
1,588,"(0, 0, 255)",21x30,570.0,"(0, 0, 255)"
