epoch,episode,turn,move,log_prob,reward,winner
1,380,"(0, 0, 255)",9-14,1,0.0,None
1,380,"(255, 0, 0)",24-20,1,0.0,None
1,380,"(0, 0, 255)",11-15,1,0.0,None
1,380,"(255, 0, 0)",22-17,1,0.0,None
1,380,"(0, 0, 255)",6-9,1,0.0,None
1,380,"(255, 0, 0)",26-22,1,0.0,None
1,380,"(0, 0, 255)",7-11,1,0.0,None
1,380,"(255, 0, 0)",22-18,1,-23.0,None
1,380,"(0, 0, 255)",15x22,1,-21.0,None
1,380,"(255, 0, 0)",25x18,1,30.0,None
1,380,"(0, 0, 255)",1-6,1,0.0,None
1,380,"(255, 0, 0)",17-13,1,0.0,None
1,380,"(0, 0, 255)",11-16,1,-23.0,None
1,380,"(255, 0, 0)",20x11,1,-42.0,None
1,380,"(0, 0, 255)",8x15x22,1,60.0,None
1,380,"(255, 0, 0)",28-24,1,0.0,None
1,380,"(0, 0, 255)",14-17,1,-16.0,None
1,380,"(255, 0, 0)",21x14x7,1,-21.0,None
1,380,"(0, 0, 255)",3x10,1,30.0,None
1,380,"(255, 0, 0)",24-19,1,0.0,None
1,380,"(0, 0, 255)",12-16,1,-51.0,None
1,380,"(255, 0, 0)",19x12,1,30.0,None
1,380,"(0, 0, 255)",9-14,1,0.0,None
1,380,"(255, 0, 0)",30-25,1,28.0,None
1,380,"(0, 0, 255)",10-15,1,-72.0,None
1,380,"(255, 0, 0)",25x18x9,1,9.0,None
1,380,"(0, 0, 255)",5x14,1,30.0,None
1,380,"(255, 0, 0)",27-24,1,0.0,None
1,380,"(0, 0, 255)",15-18,1,-21.0,None
1,380,"(255, 0, 0)",24-20,1,5.0,None
1,380,"(0, 0, 255)",18x27,1,-51.0,None
1,380,"(255, 0, 0)",31x24,1,30.0,None
1,380,"(0, 0, 255)",6-10,1,0.0,None
1,380,"(255, 0, 0)",20-16,1,0.0,None
1,380,"(0, 0, 255)",2-6,1,0.0,None
1,380,"(255, 0, 0)",24-20,1,0.0,None
1,380,"(0, 0, 255)",14-17,1,0.0,None
1,380,"(255, 0, 0)",12-8,1,-23.0,None
1,380,"(0, 0, 255)",4x11,1,-21.0,None
1,380,"(255, 0, 0)",16x7,1,30.0,None
1,380,"(0, 0, 255)",6-9,1,-51.0,None
1,380,"(255, 0, 0)",13x6,1,30.0,None
1,380,"(0, 0, 255)",10-15,1,-28.0,None
1,380,"(255, 0, 0)",6-2,1,40.0,None
1,380,"(0, 0, 255)",17-21,1,-28.0,None
1,380,"(255, 0, 0)",32-28,1,0.0,None
1,380,"(0, 0, 255)",15-18,1,-28.0,None
1,380,"(255, 0, 0)",2-6,1,0.0,None
1,380,"(0, 0, 255)",21-25,1,-422.0,"(255, 0, 0)"
1,380,"(255, 0, 0)",29x22x15,1,560.0,"(255, 0, 0)"
