epoch,episode,turn,move,log_prob,reward,winner
2,1501,"(0, 0, 255)",10-15,1,0.0,None
2,1501,"(255, 0, 0)",24-20,1,0.0,None
2,1501,"(0, 0, 255)",15-19,1,-23.0,None
2,1501,"(255, 0, 0)",23x16,1,-21.0,None
2,1501,"(0, 0, 255)",12x19,1,30.0,None
2,1501,"(255, 0, 0)",22-17,1,0.0,None
2,1501,"(0, 0, 255)",6-10,1,0.0,None
2,1501,"(255, 0, 0)",27-23,1,28.0,None
2,1501,"(0, 0, 255)",11-16,1,5.0,None
2,1501,"(255, 0, 0)",20x11,1,-72.0,None
2,1501,"(0, 0, 255)",8x15,1,-21.0,None
2,1501,"(255, 0, 0)",23x16,1,30.0,None
2,1501,"(0, 0, 255)",3-8,1,0.0,None
2,1501,"(255, 0, 0)",28-24,1,0.0,None
2,1501,"(0, 0, 255)",1-6,1,0.0,None
2,1501,"(255, 0, 0)",16-12,1,-21.0,None
2,1501,"(0, 0, 255)",15-18,1,-79.0,None
2,1501,"(255, 0, 0)",12x3,1,70.0,None
2,1501,"(0, 0, 255)",18-23,1,-51.0,None
2,1501,"(255, 0, 0)",26x19,1,30.0,None
2,1501,"(0, 0, 255)",7-11,1,0.0,None
2,1501,"(255, 0, 0)",32-27,1,0.0,None
2,1501,"(0, 0, 255)",2-7,1,0.0,None
2,1501,"(255, 0, 0)",31-26,1,0.0,None
2,1501,"(0, 0, 255)",9-13,1,-21.0,None
2,1501,"(255, 0, 0)",3-8,1,-72.0,None
2,1501,"(0, 0, 255)",13x22x31,1,49.0,None
2,1501,"(255, 0, 0)",8x15,1,30.0,None
2,1501,"(0, 0, 255)",10-14,1,0.0,None
2,1501,"(255, 0, 0)",27-23,1,0.0,None
2,1501,"(0, 0, 255)",14-17,1,-51.0,None
2,1501,"(255, 0, 0)",21x14,1,30.0,None
2,1501,"(0, 0, 255)",31-26,1,0.0,None
2,1501,"(255, 0, 0)",15-10,1,-23.0,None
2,1501,"(0, 0, 255)",6x15,1,-42.0,None
2,1501,"(255, 0, 0)",19x10x3,1,28.0,None
2,1501,"(0, 0, 255)",26x19x28,1,60.0,None
2,1501,"(255, 0, 0)",30-26,1,0.0,None
2,1501,"(0, 0, 255)",28-24,1,0.0,None
2,1501,"(255, 0, 0)",25-21,1,0.0,None
2,1501,"(0, 0, 255)",4-8,1,-51.0,None
2,1501,"(255, 0, 0)",3x12,1,30.0,None
2,1501,"(0, 0, 255)",5-9,1,-72.0,None
2,1501,"(255, 0, 0)",14x5,1,60.0,None
2,1501,"(0, 0, 255)",24-20,1,-28.0,None
2,1501,"(255, 0, 0)",21-17,1,0.0,None
2,1501,"(0, 0, 255)",20-24,1,-28.0,None
2,1501,"(255, 0, 0)",29-25,1,0.0,None
2,1501,"(0, 0, 255)",24-19,1,-28.0,None
2,1501,"(255, 0, 0)",25-22,1,0.0,None
2,1501,"(0, 0, 255)",19-15,1,-28.0,None
2,1501,"(255, 0, 0)",17-13,1,0.0,None
2,1501,"(0, 0, 255)",15-19,1,-28.0,None
2,1501,"(255, 0, 0)",22-17,1,0.0,None
2,1501,"(0, 0, 255)",19-16,1,-401.0,"(255, 0, 0)"
2,1501,"(255, 0, 0)",12x19,1,530.0,"(255, 0, 0)"
