epoch,episode,turn,move,log_prob,reward,winner
1,478,"(0, 0, 255)",10-14,-1.9459101490553135,0.0,None
1,478,"(255, 0, 0)",24-20,-1.9459101490553135,0.0,None
1,478,"(0, 0, 255)",7-10,-2.0794415416798357,0.0,None
1,478,"(255, 0, 0)",28-24,-2.0794415416798357,0.0,None
1,478,"(0, 0, 255)",14-18,-2.1972245773362196,-74.0,None
1,478,"(255, 0, 0)",23x14x7,-0.6931471805599453,9.0,None
1,478,"(0, 0, 255)",3x10,0.0,30.0,None
1,478,"(255, 0, 0)",22-18,-2.0794415416798357,0.0,None
1,478,"(0, 0, 255)",2-7,-2.0794415416798357,0.0,None
1,478,"(255, 0, 0)",18-14,-2.3025850929940455,-81.0,None
1,478,"(0, 0, 255)",10x17,-0.6931471805599453,7.0,None
1,478,"(255, 0, 0)",21x14,0.0,-21.0,None
1,478,"(0, 0, 255)",9x18,0.0,30.0,None
1,478,"(255, 0, 0)",24-19,-2.0794415416798357,0.0,None
1,478,"(0, 0, 255)",12-16,-2.1972245773362196,-93.0,None
1,478,"(255, 0, 0)",19x12x3x10,0.0,79.0,None
1,478,"(0, 0, 255)",6x15,0.0,30.0,None
1,478,"(255, 0, 0)",27-23,-2.0794415416798357,5.0,None
1,478,"(0, 0, 255)",18x27,0.0,-51.0,None
1,478,"(255, 0, 0)",32x23,-0.6931471805599453,30.0,None
1,478,"(0, 0, 255)",1-6,-1.791759469228055,0.0,None
1,478,"(255, 0, 0)",26-22,-1.9459101490553135,0.0,None
1,478,"(0, 0, 255)",11-16,-1.9459101490553135,-51.0,None
1,478,"(255, 0, 0)",20x11,0.0,30.0,None
1,478,"(0, 0, 255)",15-19,-1.791759469228055,-72.0,None
1,478,"(255, 0, 0)",23x16,0.0,60.0,None
1,478,"(0, 0, 255)",6-9,-1.3862943611198906,0.0,None
1,478,"(255, 0, 0)",22-17,-2.1972245773362196,0.0,None
1,478,"(0, 0, 255)",9-14,-1.0986122886681098,-72.0,None
1,478,"(255, 0, 0)",17x10,0.0,60.0,None
1,478,"(0, 0, 255)",5-9,-0.6931471805599453,0.0,None
1,478,"(255, 0, 0)",31-26,-2.3025850929940455,0.0,None
1,478,"(0, 0, 255)",4-8,-1.0986122886681098,-100.0,None
1,478,"(255, 0, 0)",11x4,0.0,100.0,None
1,478,"(0, 0, 255)",9-14,-0.6931471805599453,0.0,None
1,478,"(255, 0, 0)",16-11,-2.1972245773362196,0.0,None
1,478,"(0, 0, 255)",14-17,-0.6931471805599453,0.0,None
1,478,"(255, 0, 0)",4-8,-2.1972245773362196,0.0,None
1,478,"(0, 0, 255)",17-21,-0.6931471805599453,0.0,None
1,478,"(255, 0, 0)",25-22,-2.1972245773362196,28.0,None
1,478,"(0, 0, 255)",21-25,0.0,-401.0,None
1,478,"(255, 0, 0)",30x21,0.0,530.0,"(255, 0, 0)"
