epoch,episode,turn,move,reward,winner
1,12,"(0, 0, 255)",9-13,0.0,None
1,12,"(255, 0, 0)",24-19,0.0,None
1,12,"(0, 0, 255)",12-16,-51.0,None
1,12,"(255, 0, 0)",19x12,30.0,None
1,12,"(0, 0, 255)",6-9,0.0,None
1,12,"(255, 0, 0)",21-17,0.0,None
1,12,"(0, 0, 255)",11-16,0.0,None
1,12,"(255, 0, 0)",28-24,0.0,None
1,12,"(0, 0, 255)",10-15,0.0,None
1,12,"(255, 0, 0)",32-28,0.0,None
1,12,"(0, 0, 255)",1-6,0.0,None
1,12,"(255, 0, 0)",22-18,-53.0,None
1,12,"(0, 0, 255)",13x22,-23.0,None
1,12,"(255, 0, 0)",26x17,7.0,None
1,12,"(0, 0, 255)",15x22,-21.0,None
1,12,"(255, 0, 0)",25x18,30.0,None
1,12,"(0, 0, 255)",9-14,-151.0,None
1,12,"(255, 0, 0)",18x9,-72.0,None
1,12,"(0, 0, 255)",6x13x22,60.0,None
1,12,"(255, 0, 0)",23-19,-100.0,None
1,12,"(0, 0, 255)",16x23x32,100.0,None
1,12,"(255, 0, 0)",30-25,28.0,None
1,12,"(0, 0, 255)",2-6,-51.0,None
1,12,"(255, 0, 0)",25x18,30.0,None
1,12,"(0, 0, 255)",8-11,0.0,None
1,12,"(255, 0, 0)",24-20,0.0,None
1,12,"(0, 0, 255)",4-8,0.0,None
1,12,"(255, 0, 0)",31-27,-72.0,None
1,12,"(0, 0, 255)",32x23x14,60.0,None
1,12,"(255, 0, 0)",29-25,0.0,None
1,12,"(0, 0, 255)",14-10,0.0,None
1,12,"(255, 0, 0)",20-16,-51.0,None
1,12,"(0, 0, 255)",11x20,30.0,None
1,12,"(255, 0, 0)",25-21,0.0,None
1,12,"(0, 0, 255)",6-9,0.0,None
1,12,"(255, 0, 0)",28-24,-51.0,None
1,12,"(0, 0, 255)",20x27,30.0,None
1,12,"(255, 0, 0)",21-17,-28.0,None
1,12,"(0, 0, 255)",10-6,0.0,None
1,12,"(255, 0, 0)",17-14,-51.0,None
1,12,"(0, 0, 255)",9x18,-110.0,None
1,12,"(255, 0, 0)",No Legal Move,200.0,Tie
