epoch,episode,turn,move,reward,winner
1,1065,"(0, 0, 255)",11-15,0.0,None
1,1065,"(255, 0, 0)",24-19,5.0,None
1,1065,"(0, 0, 255)",15x24,-51.0,None
1,1065,"(255, 0, 0)",28x19,30.0,None
1,1065,"(0, 0, 255)",10-14,0.0,None
1,1065,"(255, 0, 0)",32-28,0.0,None
1,1065,"(0, 0, 255)",14-18,-81.0,None
1,1065,"(255, 0, 0)",23x14,7.0,None
1,1065,"(0, 0, 255)",9x18,-21.0,None
1,1065,"(255, 0, 0)",22x15,30.0,None
1,1065,"(0, 0, 255)",12-16,-72.0,None
1,1065,"(255, 0, 0)",19x12,60.0,None
1,1065,"(0, 0, 255)",6-9,0.0,None
1,1065,"(255, 0, 0)",15-11,-81.0,None
1,1065,"(0, 0, 255)",7x16,30.0,None
1,1065,"(255, 0, 0)",21-17,0.0,None
1,1065,"(0, 0, 255)",9-14,-72.0,None
1,1065,"(255, 0, 0)",17x10,60.0,None
1,1065,"(0, 0, 255)",2-6,28.0,None
1,1065,"(255, 0, 0)",27-23,-51.0,None
1,1065,"(0, 0, 255)",6x15,30.0,None
1,1065,"(255, 0, 0)",28-24,0.0,None
1,1065,"(0, 0, 255)",8-11,0.0,None
1,1065,"(255, 0, 0)",24-20,0.0,None
1,1065,"(0, 0, 255)",1-6,0.0,None
1,1065,"(255, 0, 0)",23-18,5.0,None
1,1065,"(0, 0, 255)",15x22,-51.0,None
1,1065,"(255, 0, 0)",25x18,30.0,None
1,1065,"(0, 0, 255)",3-7,0.0,None
1,1065,"(255, 0, 0)",18-14,0.0,None
1,1065,"(0, 0, 255)",6-9,28.0,None
1,1065,"(255, 0, 0)",26-22,-16.0,None
1,1065,"(0, 0, 255)",9x18x25,-21.0,None
1,1065,"(255, 0, 0)",29x22,30.0,None
1,1065,"(0, 0, 255)",5-9,0.0,None
1,1065,"(255, 0, 0)",22-17,0.0,None
1,1065,"(0, 0, 255)",11-15,-100.0,None
1,1065,"(255, 0, 0)",20x11x2,100.0,None
1,1065,"(0, 0, 255)",4-8,-79.0,None
1,1065,"(255, 0, 0)",12x3,70.0,None
1,1065,"(0, 0, 255)",9-13,-21.0,None
1,1065,"(255, 0, 0)",2-6,-51.0,None
1,1065,"(0, 0, 255)",13x22,30.0,None
1,1065,"(255, 0, 0)",3-8,0.0,None
1,1065,"(0, 0, 255)",22-26,-81.0,None
1,1065,"(255, 0, 0)",31x22,30.0,None
1,1065,"(0, 0, 255)",15-18,-422.0,"(255, 0, 0)"
1,1065,"(255, 0, 0)",22x15,560.0,"(255, 0, 0)"
