epoch,episode,turn,agent,move,reward,success,winner
84,7864,"(0, 0, 255)",Agent 1,12-16,0.1,True,None
84,7864,"(255, 0, 0)",Agent 2,22-18,0.1,True,None
84,7864,"(0, 0, 255)",Agent 1,16-19,-5.9,True,None
84,7864,"(255, 0, 0)",Agent 2,23x16,2.0999999999999996,True,None
84,7864,"(0, 0, 255)",Agent 1,11x20,5.1,True,None
84,7864,"(255, 0, 0)",Agent 2,26-23,0.1,True,None
84,7864,"(0, 0, 255)",Agent 1,10-15,-2.9,True,None
84,7864,"(255, 0, 0)",Agent 2,18x11,-0.9000000000000004,True,None
84,7864,"(0, 0, 255)",Agent 1,8x15,5.1,True,None
84,7864,"(255, 0, 0)",Agent 2,31-26,0.1,True,None
84,7864,"(0, 0, 255)",Agent 1,15-19,-5.9,True,None
84,7864,"(255, 0, 0)",Agent 2,23x16,5.1,True,None
84,7864,"(0, 0, 255)",Agent 1,9-14,0.1,True,None
84,7864,"(255, 0, 0)",Agent 2,26-23,0.1,True,None
84,7864,"(0, 0, 255)",Agent 1,14-18,-2.9,True,None
84,7864,"(255, 0, 0)",Agent 2,23x14,5.1,True,None
84,7864,"(0, 0, 255)",Agent 1,7-11,-2.9,True,None
84,7864,"(255, 0, 0)",Agent 2,16x7,-0.9000000000000004,True,None
84,7864,"(0, 0, 255)",Agent 1,3x10x17,22.1,True,None
84,7864,"(255, 0, 0)",Agent 2,21x14,5.1,True,None
84,7864,"(0, 0, 255)",Agent 1,5-9,-2.9,True,None
84,7864,"(255, 0, 0)",Agent 2,14x5,8.1,True,None
84,7864,"(0, 0, 255)",Agent 1,6-9,0.1,True,None
84,7864,"(255, 0, 0)",Agent 2,25-22,0.1,True,None
84,7864,"(0, 0, 255)",Agent 1,2-7,0.1,True,None
84,7864,"(255, 0, 0)",Agent 2,30-26,0.1,True,None
84,7864,"(0, 0, 255)",Agent 1,7-10,0.1,True,None
84,7864,"(255, 0, 0)",Agent 2,24-19,0.1,True,None
84,7864,"(0, 0, 255)",Agent 1,20-24,-2.9,True,None
84,7864,"(255, 0, 0)",Agent 2,27x20,8.1,True,None
84,7864,"(0, 0, 255)",Agent 1,9-13,0.1,True,None
84,7864,"(255, 0, 0)",Agent 2,20-16,0.1,True,None
84,7864,"(0, 0, 255)",Agent 1,10-14,0.1,True,None
84,7864,"(255, 0, 0)",Agent 2,19-15,0.1,True,None
84,7864,"(0, 0, 255)",Agent 1,13-17,-2.9,True,None
84,7864,"(255, 0, 0)",Agent 2,22x13,5.1,True,None
84,7864,"(0, 0, 255)",Agent 1,14-17,0.1,True,None
84,7864,"(255, 0, 0)",Agent 2,29-25,0.1,True,None
84,7864,"(0, 0, 255)",Agent 1,17-21,0.1,True,None
84,7864,"(255, 0, 0)",Agent 2,15-11,-2.9,True,None
84,7864,"(0, 0, 255)",Agent 1,21x30x23,45.1,True,None
84,7864,"(255, 0, 0)",Agent 2,13-9,0.1,True,None
84,7864,"(0, 0, 255)",Agent 1,23-18,0.1,True,None
84,7864,"(255, 0, 0)",Agent 2,11-8,-2.9,True,None
84,7864,"(0, 0, 255)",Agent 1,4x11x20,25.1,True,None
84,7864,"(255, 0, 0)",Agent 2,32-27,0.1,True,None
84,7864,"(0, 0, 255)",Agent 1,18-15,0.1,True,None
84,7864,"(255, 0, 0)",Agent 2,27-24,-2.9,True,None
84,7864,"(0, 0, 255)",Agent 1,20x27,5.1,True,None
84,7864,"(255, 0, 0)",Agent 2,28-24,0.1,True,None
84,7864,"(0, 0, 255)",Agent 1,27-32,20.1,True,None
84,7864,"(255, 0, 0)",Agent 2,24-20,0.1,True,None
84,7864,"(0, 0, 255)",Agent 1,32-28,0.1,True,None
84,7864,"(255, 0, 0)",Agent 2,20-16,0.1,True,None
84,7864,"(0, 0, 255)",Agent 1,28-32,0.1,True,None
84,7864,"(255, 0, 0)",Agent 2,16-12,0.1,True,None
84,7864,"(0, 0, 255)",Agent 1,32-28,0.1,True,None
84,7864,"(255, 0, 0)",Agent 2,12-8,0.1,True,None
84,7864,"(0, 0, 255)",Agent 1,28-32,0.1,True,None
84,7864,"(255, 0, 0)",Agent 2,9-6,-2.9,True,None
84,7864,"(0, 0, 255)",Agent 1,1x10,5.1,True,None
84,7864,"(255, 0, 0)",Agent 2,8-4,20.1,True,None
84,7864,"(0, 0, 255)",Agent 1,15-18,0.1,True,None
84,7864,"(255, 0, 0)",Agent 2,5-1,20.1,True,None
84,7864,"(0, 0, 255)",Agent 1,32-28,0.1,True,None
84,7864,"(255, 0, 0)",Agent 2,4-8,0.1,True,None
84,7864,"(0, 0, 255)",Agent 1,28-32,0.1,True,None
84,7864,"(255, 0, 0)",Agent 2,8-3,0.1,True,None
84,7864,"(0, 0, 255)",Agent 1,32-28,0.1,True,None
84,7864,"(255, 0, 0)",Agent 2,3-7,0.1,True,None
84,7864,"(0, 0, 255)",Agent 1,18-14,3.1,True,None
84,7864,"(255, 0, 0)",Agent 2,7-2,0.1,True,None
84,7864,"(0, 0, 255)",Agent 1,14-17,0.1,True,None
84,7864,"(255, 0, 0)",Agent 2,2-6,0.1,True,None
84,7864,"(0, 0, 255)",Agent 1,28-32,-2.9,True,None
84,7864,"(255, 0, 0)",Agent 2,6x15,5.1,True,None
84,7864,"(0, 0, 255)",Agent 1,17-21,0.1,True,None
84,7864,"(255, 0, 0)",Agent 2,15-10,0.1,True,None
84,7864,"(0, 0, 255)",Agent 1,32-27,0.1,True,None
84,7864,"(255, 0, 0)",Agent 2,10-6,0.1,True,None
84,7864,"(0, 0, 255)",Agent 1,27-23,0.1,True,None
84,7864,"(255, 0, 0)",Agent 2,6-9,0.1,True,None
84,7864,"(0, 0, 255)",Agent 1,23-18,0.1,True,None
84,7864,"(255, 0, 0)",Agent 2,9-5,0.1,True,None
84,7864,"(0, 0, 255)",Agent 1,18-22,0.1,True,None
84,7864,"(255, 0, 0)",Agent 2,5-9,0.1,True,None
84,7864,"(0, 0, 255)",Agent 1,22-17,0.1,True,None
84,7864,"(255, 0, 0)",Agent 2,9-5,0.1,True,None
84,7864,"(0, 0, 255)",Agent 1,17-22,0.1,True,None
84,7864,"(255, 0, 0)",Agent 2,5-9,0.1,True,None
84,7864,"(0, 0, 255)",Agent 1,22-17,0.1,True,None
84,7864,"(255, 0, 0)",Agent 2,9-5,0.1,True,None
84,7864,"(0, 0, 255)",Agent 1,17-22,0.1,True,None
