game_number,epoch,episode,blue_win,red_win,reward,time,moves,log_probs
255,1,255,0,1,20.0,2024-11-25 23:10:51,"10-15, 23-18, 12-16, 24-20, 9-14, 18x9, 5x14, 27-24, 6-10, 22-17, 1-6, 24-19, 15x24, 28x19x12, 6-9, 32-28, 2-6, 26-22, 11-16, 20x11x2, 8-11, 30-26, 10-15, 17x10x1, 9-14, 1-5, 15-19, 5-9, 19-24, 9x18, 3-7, 28x19, 11-15, 19x10x3, 4-8, 26-23, 8-11, 22-17, 11-15, 18x11","-1.9459101490553135, -1.9459101490553135, -1.9459101490553135, -1.9459101490553135, -1.9459101490553135, 0.0, -0.6931471805599453, -1.9459101490553135, -2.3025850929940455, -1.9459101490553135, -2.0794415416798357, -1.9459101490553135, -0.6931471805599453, 0.0, -1.6094379124341003, -2.0794415416798357, -1.791759469228055, -1.9459101490553135, -1.6094379124341003, 0.0, -1.6094379124341003, -2.0794415416798357, -2.0794415416798357, 0.0, -2.0794415416798357, -2.3978952727983707, -2.0794415416798357, -2.3978952727983707, -2.1972245773362196, -0.6931471805599453, -1.791759469228055, 0.0, -1.3862943611198906, -1.0986122886681098, 0.0, -2.3025850929940455, 0.0, -2.4849066497880004, -0.6931471805599453, 0.0"
256,1,256,1,0,12.0,2024-11-25 23:10:51,"11-16, 21-17, 7-11, 24-20, 9-14, 28-24, 14x21, 22-17, 10-15, 26-22, 15-19, 24x15, 11x18, 22x15, 5-9, 20x11, 1-5, 11-7, 2x11x18, 23x14, 9x18, 30-26, 21x30x23, 29-25, 3-7, 17-13, 7-11, 13-9, 6x13, 25-21, 11-15, 31-26, 23x30, 32-28, 18-23, 27x18x11, 8x15, 28-24, 5-9, 24-19, 15x24, 21-17, 13x22","-1.9459101490553135, -1.9459101490553135, -2.0794415416798357, -2.0794415416798357, -2.0794415416798357, -1.9459101490553135, 0.0, -1.791759469228055, -2.0794415416798357, -2.0794415416798357, -2.0794415416798357, 0.0, 0.0, -1.0986122886681098, -1.9459101490553135, 0.0, -1.9459101490553135, -2.3978952727983707, -0.6931471805599453, 0.0, 0.0, -2.0794415416798357, 0.0, -1.791759469228055, -2.1972245773362196, -1.9459101490553135, -2.3025850929940455, -1.791759469228055, -0.6931471805599453, -1.6094379124341003, -2.0794415416798357, -1.3862943611198906, 0.0, -1.3862943611198906, -2.1972245773362196, 0.0, 0.0, -0.6931471805599453, -2.0794415416798357, -1.0986122886681098, 0.0, 0.0, 0.0"
257,1,257,0,1,63.0,2024-11-25 23:10:51,"10-15, 24-19, 15x24, 28x19, 7-10, 23-18, 12-16, 19x12, 9-13, 32-28, 2-7, 22-17, 13x22, 26x17, 5-9, 18-14, 9x18, 27-24, 18-22, 25x18, 10-14, 18x9x2, 7-10, 2-7, 1-6, 7x16, 6-9, 24-19, 8-11, 16x7x14x5, 3-7, 31-26, 7-10, 5-9, 10-14, 9x18, 4-8, 12x3","-1.9459101490553135, -1.9459101490553135, 0.0, -0.6931471805599453, -1.9459101490553135, -2.0794415416798357, -2.1972245773362196, 0.0, -2.0794415416798357, -2.0794415416798357, -2.1972245773362196, -2.0794415416798357, 0.0, 0.0, -1.791759469228055, -2.3025850929940455, 0.0, -2.0794415416798357, -2.0794415416798357, 0.0, -1.791759469228055, -0.6931471805599453, -1.6094379124341003, -2.3978952727983707, -1.791759469228055, -0.6931471805599453, -1.6094379124341003, -2.4849066497880004, -1.791759469228055, 0.0, -1.0986122886681098, -2.5649493574615367, -1.0986122886681098, -2.4849066497880004, -1.0986122886681098, -0.6931471805599453, 0.0, 0.0"
258,1,258,1,0,23.0,2024-11-25 23:10:51,"11-15, 24-20, 7-11, 20-16, 11x20, 27-24, 20x27, 31x24, 2-7, 22-17, 12-16, 32-27, 7-11, 26-22, 9-13, 23-19, 16x23x32, 22-18, 15x22, 25x18, 13x22, 30-25, 11-15, 18x11, 8x15, 25x18x11, 6-9, 11-7, 4-8, 7-2, 3-7, 2x11x4, 32-27, 29-25, 27x20, 4-8, 1-6, 8-3, 20-16, 3-7, 10-15, 7-2, 9-13, 2x9, 5x14, 28-24, 14-18, 24-20, 16-12, 20-16, 12x19, 25-22, 18x25, 21-17, 13x22","-1.9459101490553135, -1.9459101490553135, -2.0794415416798357, -2.0794415416798357, -0.6931471805599453, -1.9459101490553135, 0.0, 0.0, -2.1972245773362196, -2.0794415416798357, -2.0794415416798357, -2.1972245773362196, -2.3025850929940455, -2.0794415416798357, -2.1972245773362196, -1.9459101490553135, 0.0, -1.6094379124341003, -0.6931471805599453, 0.0, 0.0, -2.0794415416798357, -2.3025850929940455, 0.0, 0.0, 0.0, -2.0794415416798357, -1.791759469228055, -2.0794415416798357, -1.6094379124341003, -2.1972245773362196, 0.0, -1.791759469228055, -1.6094379124341003, 0.0, -1.3862943611198906, -1.9459101490553135, -1.9459101490553135, -1.791759469228055, -1.6094379124341003, -2.0794415416798357, -1.9459101490553135, -2.1972245773362196, 0.0, 0.0, -1.0986122886681098, -2.1972245773362196, -1.3862943611198906, -1.9459101490553135, -1.0986122886681098, 0.0, -0.6931471805599453, 0.0, 0.0, 0.0"
259,1,259,0,0,-137.0,2024-11-25 23:10:51,"10-14, 24-19, 7-10, 28-24, 2-7, 19-16, 11x20, 32-28, 14-17, 22x13, 12-16, 23-19, 16x23x32, 24-19, 10-14, 28-24, 20x27, 31x24, 32-27, 26-23, 27x20, 25-22, 8-12, 22-17, 14-18, 23x14, 9x18, 17-14, 18-22, 19-15, 5-9, 14x5, 7-11, 15x8, 4x11, 30-26, 22x31, 21-17, 12-16, 13-9, 6x13x22, 29-25, 22x29","-1.9459101490553135, -1.9459101490553135, -2.0794415416798357, -2.0794415416798357, -2.1972245773362196, -2.0794415416798357, -0.6931471805599453, -1.9459101490553135, -1.9459101490553135, -0.6931471805599453, -1.791759469228055, -1.791759469228055, 0.0, -1.791759469228055, -2.0794415416798357, -2.0794415416798357, 0.0, 0.0, -2.1972245773362196, -1.9459101490553135, -0.6931471805599453, -1.791759469228055, -2.1972245773362196, -2.1972245773362196, -2.1972245773362196, 0.0, 0.0, -1.9459101490553135, -2.4849066497880004, -2.1972245773362196, -2.4849066497880004, 0.0, -2.3978952727983707, 0.0, 0.0, -1.6094379124341003, 0.0, -1.0986122886681098, -2.3978952727983707, -1.0986122886681098, 0.0, 0.0, 0.0, 1"
260,1,260,0,0,-529.0,2024-11-25 23:10:52,"9-14, 22-17, 11-16, 23-19, 16x23, 26x19, 10-15, 19x10, 6x15, 17x10, 7x14, 27-23, 5-9, 32-27, 1-6, 30-26, 14-18, 23x14x5, 3-7, 27-23, 12-16, 31-27, 16-20, 25-22, 6-9, 5-1, 7-10, 21-17, 15-18, 22x15x6, 2-7, 23-18, 9-14, 18x9, 8-12, 26-22, 4-8, 9-5, 7-11, 24-19, 11-16, 17-13, 16x23x32, 22-18, 8-11, 13-9, 12-16, 18-15, 11x18, 6-2, 18-22, 29-25, 22x29, 28-24, 20x27, 1-6, 27-31, 6-1, 31-26, 2-7, 26-31, 7-2","-1.9459101490553135, -1.9459101490553135, -1.9459101490553135, -1.9459101490553135, 0.0, -0.6931471805599453, -1.9459101490553135, -0.6931471805599453, 0.0, 0.0, 0.0, -1.9459101490553135, -2.3978952727983707, -2.3025850929940455, -2.4849066497880004, -2.0794415416798357, -2.3025850929940455, 0.0, -2.0794415416798357, -2.0794415416798357, -2.0794415416798357, -2.1972245773362196, -2.3025850929940455, -1.9459101490553135, -2.0794415416798357, -2.0794415416798357, -2.1972245773362196, -2.1972245773362196, -2.1972245773362196, -1.0986122886681098, -1.6094379124341003, -2.1972245773362196, -1.791759469228055, -0.6931471805599453, -1.3862943611198906, -2.3025850929940455, -1.3862943611198906, -2.1972245773362196, -1.3862943611198906, -1.9459101490553135, -1.3862943611198906, -2.1972245773362196, 0.0, -1.791759469228055, -1.3862943611198906, -1.791759469228055, -1.6094379124341003, -1.6094379124341003, 0.0, -1.0986122886681098, -1.6094379124341003, -1.791759469228055, 0.0, -1.6094379124341003, 0.0, -1.3862943611198906, -1.6094379124341003, -1.3862943611198906, -1.9459101490553135, -1.3862943611198906, -2.1972245773362196, -1.791759469228055"
261,1,261,1,0,-116.0,2024-11-25 23:10:52,"9-14, 21-17, 14x21, 23-18, 11-15, 18x11, 7x16, 24-20, 10-15, 20x11, 15-19, 28-24, 19x28, 27-24, 8x15, 31-27, 3-7, 22-18, 15x22x31, 25-22, 31-26, 30x23, 7-10, 22-18, 12-16, 24-19, 4-8, 19x12x3, 6-9, 29-25, 21x30, 27-24, 1-6, 24-20, 9-14, 18x9, 6x13, 3-8, 2-7, 8-4, 30-26, 4-8, 26x19, 20-16, 19x12x3, 32-27, 10-14, 27-23, 5-9, 23-18, 14x23","-1.9459101490553135, -1.9459101490553135, 0.0, -1.791759469228055, -1.9459101490553135, 0.0, -0.6931471805599453, -1.791759469228055, -2.0794415416798357, 0.0, -2.0794415416798357, -1.9459101490553135, -0.6931471805599453, -1.791759469228055, 0.0, -1.9459101490553135, -2.3025850929940455, -1.791759469228055, 0.0, -1.6094379124341003, -2.1972245773362196, 0.0, -2.0794415416798357, -1.9459101490553135, -2.0794415416798357, -1.791759469228055, -2.0794415416798357, 0.0, -1.791759469228055, -1.9459101490553135, 0.0, -1.791759469228055, -2.1972245773362196, -2.0794415416798357, -1.9459101490553135, 0.0, -0.6931471805599453, -1.791759469228055, -2.0794415416798357, -2.0794415416798357, -1.9459101490553135, -1.6094379124341003, 0.0, -1.791759469228055, 0.0, 0.0, -1.9459101490553135, -0.6931471805599453, -2.0794415416798357, -0.6931471805599453, 0.0"
262,1,262,0,1,-259.0,2024-11-25 23:10:52,"10-15, 21-17, 15-19, 24x15, 11x18, 22x15, 9-13, 15-10, 13x22, 25x18, 6x15x22, 26x17, 1-6, 31-26, 7-11, 23-18, 5-9, 17-14, 11-16, 14x5, 2-7, 5-1, 7-10, 27-24, 16-19, 24x15, 10x19, 1x10, 3-7, 10x3, 8-11, 3-7, 19-23, 7x16, 12x19, 18-15, 19-24, 28x19, 23-27, 32x23, 4-8, 23-18, 8-11, 15x8","-1.9459101490553135, -1.9459101490553135, -2.0794415416798357, -0.6931471805599453, 0.0, -0.6931471805599453, -1.9459101490553135, -2.3025850929940455, -1.0986122886681098, -0.6931471805599453, -0.6931471805599453, 0.0, -1.9459101490553135, -2.3025850929940455, -1.9459101490553135, -2.1972245773362196, -2.0794415416798357, -2.3978952727983707, -1.9459101490553135, 0.0, -1.9459101490553135, -2.3025850929940455, -1.9459101490553135, -2.3025850929940455, -1.9459101490553135, 0.0, 0.0, 0.0, -1.6094379124341003, 0.0, -1.3862943611198906, -2.3025850929940455, -1.791759469228055, -0.6931471805599453, 0.0, -1.9459101490553135, -1.0986122886681098, -0.6931471805599453, -0.6931471805599453, 0.0, 0.0, -1.9459101490553135, -0.6931471805599453, 0.0"
263,1,263,0,1,-168.0,2024-11-25 23:10:52,"9-13, 24-19, 12-16, 19x12, 11-16, 27-24, 16-19, 24x15, 10x19, 23x16, 7-11, 16x7, 3x10, 12x3, 10-14, 26-23, 14-18, 23x14, 13-17, 22x13, 5-9, 14x5, 6-10, 3-7, 2x11, 31-27, 10-14, 27-23, 1-6, 28-24, 6-9, 13x6, 11-16, 24-19, 16-20, 19-15, 14-18, 23x14, 4-8, 5-1, 8-11, 15x8, 20-24, 21-17, 24-27, 32x23","-1.9459101490553135, -1.9459101490553135, -2.0794415416798357, 0.0, -1.9459101490553135, -1.9459101490553135, -2.1972245773362196, -0.6931471805599453, 0.0, 0.0, -1.9459101490553135, 0.0, -0.6931471805599453, 0.0, -1.9459101490553135, -2.1972245773362196, -2.0794415416798357, -0.6931471805599453, -1.791759469228055, 0.0, -1.6094379124341003, 0.0, -1.3862943611198906, -2.3025850929940455, 0.0, -2.0794415416798357, -1.791759469228055, -1.9459101490553135, -1.791759469228055, -2.1972245773362196, -1.9459101490553135, 0.0, -1.6094379124341003, -2.4849066497880004, -1.3862943611198906, -2.3978952727983707, -1.3862943611198906, 0.0, -0.6931471805599453, -2.4849066497880004, -1.0986122886681098, 0.0, 0.0, -2.3978952727983707, -0.6931471805599453, 0.0"
264,1,264,0,0,-683.0,2024-11-25 23:10:53,"10-14, 22-18, 7-10, 24-20, 9-13, 18x9, 5x14, 27-24, 3-7, 24-19, 1-5, 25-22, 11-16, 20x11, 7x16, 31-27, 14-17, 21x14x7, 2x11, 27-24, 6-9, 22-18, 11-15, 19x10, 16-20, 10-7, 20x27, 30-25, 13-17, 23-19, 9-14, 32x23, 17-22, 18x9, 22x31, 9-6, 5-9, 19-15, 8-11, 15x8, 4x11, 23-19, 11-16, 25-22, 16x23, 6-1, 9-13, 28-24, 12-16, 1-5, 23-26, 5-9, 13-17, 22x13, 26-30, 7-3, 31-27, 24-19, 16x23, 29-25, 30x21, 9-6, 27-32, 6-9, 32-27","-1.9459101490553135, -1.9459101490553135, -1.9459101490553135, -1.9459101490553135, -2.0794415416798357, 0.0, 0.0, -2.0794415416798357, -2.3978952727983707, -2.1972245773362196, -2.1972245773362196, -2.3025850929940455, -2.1972245773362196, 0.0, -0.6931471805599453, -2.3025850929940455, -2.1972245773362196, 0.0, 0.0, -2.0794415416798357, -1.791759469228055, -2.0794415416798357, -1.3862943611198906, -0.6931471805599453, -1.6094379124341003, -2.3025850929940455, 0.0, -2.1972245773362196, -1.6094379124341003, -2.1972245773362196, -1.9459101490553135, -0.6931471805599453, -1.6094379124341003, -0.6931471805599453, -0.6931471805599453, -2.1972245773362196, -1.6094379124341003, -2.3025850929940455, -1.791759469228055, 0.0, 0.0, -2.1972245773362196, -1.9459101490553135, -2.0794415416798357, 0.0, -2.0794415416798357, -1.9459101490553135, -2.0794415416798357, -1.791759469228055, -2.1972245773362196, -1.9459101490553135, -2.1972245773362196, -1.6094379124341003, 0.0, -1.3862943611198906, -2.0794415416798357, -1.791759469228055, -2.0794415416798357, 0.0, -1.791759469228055, 0.0, -1.6094379124341003, -1.791759469228055, -1.9459101490553135, -1.791759469228055"
265,1,265,0,1,-513.0,2024-11-25 23:10:53,"12-16, 24-19, 10-15, 19x10, 7x14, 21-17, 14x21, 27-24, 9-13, 24-20, 2-7, 32-27, 8-12, 27-24, 16-19, 24x15x8, 4x11, 20-16, 12x19, 23x16, 11x20, 28-24, 20x27, 31x24, 6-10, 26-23, 10-14, 23-18, 14x23, 24-19, 7-11, 22-17, 13x22, 25x18, 3-8, 19-15, 23-27, 15-10, 27-32, 18-14, 32-28, 10-7, 21-25, 30x21, 8-12, 14-10, 1-6, 10x1, 5-9, 1-5, 9-13, 29-25, 13-17, 21x14, 28-24, 14-10, 24-28, 7-3, 12-16, 10-7, 28-32, 3-8, 32-28, 8x15, 16-20, 15-18, 28-32, 25-21, 20-24, 18-14, 32-28, 7-2, 24-27, 14-17, 28-24, 5-1, 24-20, 1-6, 27-31, 6-1, 20-16, 17-22, 31-27, 2-7, 27-32, 7-11, 16x7, 22-18, 32-28, 18-23, 28-24, 21-17, 24-19, 23x16, 7-3, 17-13, 3-8, 16-11, 8x15, 1-5, 15-10, 13-9, 10-14, 5-1, 14x5, 1-6, 5-1, 6-10, 1-6, 10x1","-1.9459101490553135, -1.9459101490553135, -1.9459101490553135, -0.6931471805599453, -0.6931471805599453, -1.9459101490553135, 0.0, -1.791759469228055, -2.1972245773362196, -2.0794415416798357, -2.1972245773362196, -1.9459101490553135, -2.0794415416798357, -1.791759469228055, -2.1972245773362196, -0.6931471805599453, 0.0, -1.9459101490553135, -0.6931471805599453, 0.0, 0.0, -1.6094379124341003, 0.0, 0.0, -1.9459101490553135, -1.6094379124341003, -1.9459101490553135, -1.9459101490553135, 0.0, -1.6094379124341003, -2.0794415416798357, -1.6094379124341003, 0.0, 0.0, -2.1972245773362196, -1.9459101490553135, -1.9459101490553135, -1.6094379124341003, -2.0794415416798357, -1.9459101490553135, -2.0794415416798357, -1.791759469228055, -2.0794415416798357, -0.6931471805599453, -1.9459101490553135, -1.791759469228055, -1.9459101490553135, 0.0, -1.791759469228055, -1.791759469228055, -1.9459101490553135, -1.791759469228055, -1.791759469228055, 0.0, -1.6094379124341003, -2.0794415416798357, -1.9459101490553135, -1.9459101490553135, -1.6094379124341003, -2.0794415416798357, -1.6094379124341003, -1.791759469228055, -1.6094379124341003, 0.0, -1.3862943611198906, -2.3025850929940455, -1.0986122886681098, -2.3025850929940455, -1.0986122886681098, -2.1972245773362196, -1.3862943611198906, -2.1972245773362196, -0.6931471805599453, -2.1972245773362196, -1.3862943611198906, -1.9459101490553135, -1.6094379124341003, -1.9459101490553135, -1.3862943611198906, -1.9459101490553135, -1.3862943611198906, -1.9459101490553135, -1.791759469228055, -2.1972245773362196, -2.0794415416798357, -2.3978952727983707, 0.0, -1.9459101490553135, -1.791759469228055, -1.9459101490553135, -1.791759469228055, -1.9459101490553135, -2.0794415416798357, 0.0, -1.3862943611198906, -2.0794415416798357, -0.6931471805599453, -1.9459101490553135, 0.0, -1.0986122886681098, -1.3862943611198906, -1.0986122886681098, -1.3862943611198906, -0.6931471805599453, 0.0, 0.0, -0.6931471805599453, -1.0986122886681098, -0.6931471805599453, 0.0"
266,1,266,0,1,-115.0,2024-11-25 23:10:53,"10-14, 21-17, 14x21, 22-17, 12-16, 24-20, 7-10, 17-14, 9x18, 23x14x7, 3x10, 25-22, 10-14, 26-23, 16-19, 23x16x7, 2x11, 28-24, 6-10, 32-28, 14-17, 22x13, 10-14, 29-25, 11-16, 20x11, 8x15, 31-26, 4-8, 24-20, 14-18, 26-22, 15-19, 22x15, 8-12, 27-24, 1-6, 15-11, 12-16, 24x15, 6-10, 15x6, 16-19, 11-8, 5-9, 8-3, 19-24, 28x19, 9-14, 20-16, 14-17, 16-12, 17-22, 25x18, 21-25, 30x21","-1.9459101490553135, -1.9459101490553135, 0.0, -1.791759469228055, -1.9459101490553135, -2.0794415416798357, -1.9459101490553135, -2.0794415416798357, -0.6931471805599453, 0.0, 0.0, -1.791759469228055, -2.1972245773362196, -2.0794415416798357, -2.3025850929940455, 0.0, 0.0, -2.3025850929940455, -2.1972245773362196, -2.3025850929940455, -2.1972245773362196, 0.0, -2.0794415416798357, -2.0794415416798357, -1.9459101490553135, 0.0, 0.0, -1.9459101490553135, -1.9459101490553135, -1.9459101490553135, -2.0794415416798357, -2.0794415416798357, -1.791759469228055, 0.0, -1.791759469228055, -2.1972245773362196, -1.3862943611198906, -1.791759469228055, -1.6094379124341003, 0.0, -1.3862943611198906, 0.0, -0.6931471805599453, -2.1972245773362196, -1.0986122886681098, -2.0794415416798357, -1.0986122886681098, 0.0, 0.0, -2.3025850929940455, -0.6931471805599453, -2.3025850929940455, 0.0, 0.0, 0.0, 0.0"
267,1,267,0,0,-269.0,2024-11-25 23:10:54,"11-16, 21-17, 8-11, 24-19, 9-14, 23-18, 14x23, 27x18, 16x23, 26x19, 10-14, 17x10, 6x15x24, 28x19, 1-6, 32-27, 7-10, 18-14, 10x17x26, 31x22, 11-15, 19x10x1, 5-9, 30-26, 2-6, 1x10, 3-7, 10x3, 9-14, 3-7, 12-16, 22-17, 14x21x30x23x32, 7-10, 16-19, 29-25, 32-27, 10-14, 19-24, 25-21, 27-32, 14-17, 4-8, 17-14, 8-11, 14-10, 24-28, 10-7, 32-27, 7x16, 27-23, 16-20, 23-18, 21-17, 28-32, 17-14, 18x9, 20-16, 9-14, 16-11, 14-9, 11-8, 9-14, 8-12","-1.9459101490553135, -1.9459101490553135, -2.0794415416798357, -2.0794415416798357, -2.0794415416798357, -1.9459101490553135, -1.0986122886681098, 0.0, 0.0, 0.0, -2.1972245773362196, -0.6931471805599453, -0.6931471805599453, 0.0, -2.1972245773362196, -2.3978952727983707, -2.1972245773362196, -2.3025850929940455, 0.0, -0.6931471805599453, -2.3025850929940455, 0.0, -1.9459101490553135, -2.0794415416798357, -2.0794415416798357, 0.0, -1.791759469228055, 0.0, -1.3862943611198906, -2.0794415416798357, -1.3862943611198906, -2.3025850929940455, 0.0, -1.6094379124341003, -1.6094379124341003, -1.6094379124341003, -1.6094379124341003, -1.791759469228055, -1.9459101490553135, -1.791759469228055, -1.6094379124341003, -1.6094379124341003, -1.6094379124341003, -1.0986122886681098, -1.791759469228055, -1.6094379124341003, -1.791759469228055, -1.6094379124341003, -1.0986122886681098, 0.0, -1.6094379124341003, -1.6094379124341003, -1.6094379124341003, -1.0986122886681098, -1.6094379124341003, -1.3862943611198906, 0.0, -0.6931471805599453, -1.791759469228055, -1.3862943611198906, -1.791759469228055, -1.3862943611198906, -1.791759469228055, -1.3862943611198906"
268,1,268,1,0,25.0,2024-11-25 23:10:54,"9-13, 23-18, 10-14, 18x9, 5x14, 24-20, 6-10, 27-24, 13-17, 22x13, 14-18, 25-22, 18x25, 29x22, 11-15, 24-19, 15x24, 28x19, 8-11, 32-27, 11-16, 20x11, 7x16x23x32, 22-17, 32-27, 31x24, 10-15, 24-19, 15x24, 26-23, 1-6, 17-14, 2-7, 30-25, 24-28, 13-9, 6x13, 21-17, 13x22x29, 14-10, 7x14, 23-18, 14x23","-1.9459101490553135, -1.9459101490553135, -2.0794415416798357, 0.0, 0.0, -1.9459101490553135, -2.3025850929940455, -2.0794415416798357, -2.3025850929940455, 0.0, -2.1972245773362196, -2.1972245773362196, 0.0, 0.0, -2.0794415416798357, -2.3025850929940455, 0.0, 0.0, -2.0794415416798357, -2.4849066497880004, -2.3025850929940455, 0.0, 0.0, -1.9459101490553135, -2.4849066497880004, 0.0, -2.3025850929940455, -1.9459101490553135, 0.0, -1.6094379124341003, -2.3025850929940455, -1.791759469228055, -2.1972245773362196, -2.0794415416798357, -2.1972245773362196, -1.9459101490553135, 0.0, -1.791759469228055, 0.0, -1.3862943611198906, 0.0, -0.6931471805599453, 0.0"
269,1,269,1,0,-7.0,2024-11-25 23:10:54,"9-13, 24-19, 10-14, 22-17, 13x22, 26x17x10, 6x15x24, 28x19, 11-15, 19x10, 7x14, 32-28, 8-11, 30-26, 11-15, 26-22, 14-18, 23x14, 2-6, 31-26, 15-18, 22x15, 3-7, 14-10, 7x14, 27-23, 4-8, 23-18, 14x23x30, 15-10, 6x15, 28-24, 5-9, 21-17, 30x21x14, 24-20, 1-6, 29-25, 14-18, 20-16, 12x19, 25-22, 18x25","-1.9459101490553135, -1.9459101490553135, -2.0794415416798357, -2.0794415416798357, 0.0, -0.6931471805599453, -0.6931471805599453, -0.6931471805599453, -1.9459101490553135, 0.0, 0.0, -2.0794415416798357, -2.1972245773362196, -2.0794415416798357, -2.4849066497880004, -1.9459101490553135, -2.4849066497880004, 0.0, -2.3025850929940455, -2.1972245773362196, -2.1972245773362196, 0.0, -1.9459101490553135, -2.3978952727983707, 0.0, -2.1972245773362196, -1.9459101490553135, -2.0794415416798357, 0.0, -1.6094379124341003, 0.0, -1.0986122886681098, -1.9459101490553135, -1.3862943611198906, 0.0, -1.0986122886681098, -2.3025850929940455, -0.6931471805599453, -2.1972245773362196, -1.0986122886681098, 0.0, -0.6931471805599453, 0.0"
270,1,270,1,0,-106.0,2024-11-25 23:10:54,"9-14, 21-17, 14x21, 24-20, 5-9, 20-16, 11x20, 27-24, 20x27, 31x24, 8-11, 24-20, 3-8, 20-16, 12x19, 23x16, 11x20, 28-24, 20x27, 32x23, 9-13, 22-18, 13-17, 23-19, 10-14, 18x9, 6x13, 19-15, 1-6, 15-10, 7x14, 26-23, 6-10, 30-26, 21x30, 29-25, 30x21, 26-22, 17x26, 23-18, 14x23","-1.9459101490553135, -1.9459101490553135, 0.0, -1.791759469228055, -1.9459101490553135, -1.9459101490553135, -0.6931471805599453, -1.791759469228055, 0.0, 0.0, -2.0794415416798357, -1.9459101490553135, -2.3025850929940455, -1.9459101490553135, -0.6931471805599453, 0.0, 0.0, -1.6094379124341003, 0.0, 0.0, -2.0794415416798357, -1.3862943611198906, -2.0794415416798357, -1.6094379124341003, -2.0794415416798357, 0.0, 0.0, -1.6094379124341003, -2.0794415416798357, -1.6094379124341003, -0.6931471805599453, -1.0986122886681098, -1.9459101490553135, -1.3862943611198906, 0.0, -1.3862943611198906, 0.0, -1.0986122886681098, 0.0, -0.6931471805599453, 0.0"
271,1,271,0,0,-577.0,2024-11-25 23:10:54,"10-14, 22-17, 6-10, 23-18, 14x23, 27x18, 9-13, 18-15, 13x22, 26x17, 11x18, 17-13, 7-11, 30-26, 10-15, 24-19, 15x24, 28x19, 5-9, 13x6, 2x9, 25-22, 18x25, 29x22, 11-15, 19x10, 12-16, 31-27, 8-12, 26-23, 1-6, 10x1, 9-14, 27-24, 14-17, 22x13, 16-19, 24x15, 3-8, 1-6, 8-11, 15x8, 4x11, 21-17, 11-15, 32-27, 12-16, 23-18, 15x22, 17-14, 22-26, 27-23, 16-19, 23x16, 26-30, 16-11, 30-25, 13-9, 25-21, 6-1, 21-17, 9-5, 17x10, 11-7, 10x3, 1-6, 3-8, 6-10, 8-3, 10-7, 3x10, 5-1, 10-7, 1-5, 7-11, 5-9, 11-8, 9-5, 8-4, 5-1, 4-8, 1-6","-1.9459101490553135, -1.9459101490553135, -1.9459101490553135, -1.9459101490553135, 0.0, -0.6931471805599453, -2.1972245773362196, -2.3025850929940455, -1.0986122886681098, -1.0986122886681098, -0.6931471805599453, -2.1972245773362196, -2.3025850929940455, -2.1972245773362196, -2.4849066497880004, -2.1972245773362196, 0.0, 0.0, -2.3025850929940455, 0.0, -0.6931471805599453, -2.1972245773362196, 0.0, 0.0, -2.0794415416798357, 0.0, -1.9459101490553135, -2.1972245773362196, -2.1972245773362196, -2.1972245773362196, -2.1972245773362196, 0.0, -1.9459101490553135, -2.1972245773362196, -1.9459101490553135, -0.6931471805599453, -1.6094379124341003, -0.6931471805599453, -1.3862943611198906, -2.3025850929940455, -0.6931471805599453, 0.0, 0.0, -2.3025850929940455, -1.0986122886681098, -2.3025850929940455, -1.0986122886681098, -2.1972245773362196, 0.0, -2.0794415416798357, -1.3862943611198906, -2.1972245773362196, -1.3862943611198906, 0.0, -0.6931471805599453, -2.1972245773362196, -0.6931471805599453, -2.1972245773362196, -1.3862943611198906, -1.9459101490553135, -0.6931471805599453, -1.9459101490553135, 0.0, -1.0986122886681098, 0.0, 0.0, -0.6931471805599453, -1.6094379124341003, -1.3862943611198906, -1.6094379124341003, 0.0, 0.0, -1.3862943611198906, -0.6931471805599453, -1.3862943611198906, -0.6931471805599453, -1.3862943611198906, -1.3862943611198906, -1.3862943611198906, -0.6931471805599453, 0.0, -0.6931471805599453"
272,1,272,0,1,9.0,2024-11-25 23:10:55,"11-16, 22-17, 9-13, 17-14, 10x17, 21x14, 7-10, 14x7, 2x11, 25-21, 16-20, 30-25, 11-16, 23-18, 6-9, 26-23, 13-17, 21x14, 1-6, 24-19, 20-24, 27x20x11, 8x15x24, 28x19, 6-10, 14x7, 3x10, 18-15, 9-14, 15x6, 4-8, 31-27, 14-18, 23x14, 12-16, 19x12x3, 5-9, 14x5","-1.9459101490553135, -1.9459101490553135, -2.0794415416798357, -1.9459101490553135, 0.0, 0.0, -2.1972245773362196, 0.0, -0.6931471805599453, -1.9459101490553135, -2.0794415416798357, -1.9459101490553135, -2.0794415416798357, -1.791759469228055, -1.9459101490553135, -2.0794415416798357, -1.791759469228055, 0.0, -1.6094379124341003, -1.9459101490553135, -1.6094379124341003, 0.0, -0.6931471805599453, 0.0, -1.791759469228055, 0.0, 0.0, -2.3025850929940455, -1.6094379124341003, 0.0, -1.6094379124341003, -2.3978952727983707, -1.6094379124341003, 0.0, -1.0986122886681098, 0.0, 0.0, 0.0"
